Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.4406,-4.7902,-0.31232,0,0,0,6000,103290,-5.3338E-12,1.5499E-13,74340,21268,61126,0,0,0,0,0,0,package://TT/meshes/base_link.STL,128,128,128,1,0,0,0,0,0,0,package://TT/meshes/base_link.STL,,Tractor-1,Origin_global,Axis_trailer_to_right_tire,trailer_to_right_tire,continuous,-0.92503,-2.2435,-8.1,-1.8703,0,3.1416,Trailer,1,0,0,,,,,,,,,,,,
Left_Hinge,0.044267,-0.15,0,0,0,0,11.976,0.15149,4.7995E-18,-2.2287E-18,0.23945,-1.7421E-34,0.23529,0,0,0,0,0,0,package://TT/meshes/Left_Hinge.STL,1,1,1,1,0,0,0,0,0,0,package://TT/meshes/Left_Hinge.STL,,hinge-1,Origin_base_to_left_hinge,Axis_base_to_left_hinge,base_to_left_hinge,revolute,-1.4156,-5.504,-2.0935,1.5708,0,0,base_link,0,1,0,0,0.713,-0.55,0.55,,,,,,,,
left_front_tire,0.15107,8.8818E-16,-1.7764E-15,0,0,0,16,14.659,6.5806E-16,-9.8805E-16,8.5568,-4.4409E-16,8.5568,0,0,0,0,0,0,package://TT/meshes/left_front_tire.STL,0,0,0,1,0,0,0,0,0,0,package://TT/meshes/left_front_tire.STL,,tire-1,Origin_left_hinge_to_tire,Axis_left_hinge_to_tire,left_hinge_to_tire,continuous,0.175,-0.15,0,1.1065,0,0,Left_Hinge,1,0,0,,,,,,,,,,,,
Right_Hinge,0.044267,-0.15,8.8818E-16,0,0,0,11.976,0.15149,-1.3253E-17,1.9137E-18,0.23945,-4.3647E-18,0.23529,0,0,0,0,0,0,package://TT/meshes/Right_Hinge.STL,1,1,1,1,0,0,0,0,0,0,package://TT/meshes/Right_Hinge.STL,,hinge-2,Origin_base_to_right_hinge,Axis_base_to_right_hinge,base_to_right_hinge,revolute,-3.4656,-5.504,-2.0935,1.5708,0,3.1416,base_link,0,1,0,0,0.7103,-0.55,0.55,,,,,,,,
right_front_tire,0.15107,8.8818E-16,8.8818E-16,0,0,0,16,14.659,4.2107E-16,-1.0042E-15,8.5568,-8.8818E-16,8.5568,0,0,0,0,0,0,package://TT/meshes/right_front_tire.STL,0,0,0,1,0,0,0,0,0,0,package://TT/meshes/right_front_tire.STL,,tire-4,Origin_right_hinge_to_tire,Axis_right_hinge_to_tire,right_hinge_to_tire,continuous,0.175,-0.15,0,-2.107,0,0,Right_Hinge,1,0,0,,,,,,,,,,,,
Left_Rear_Tire,-0.14893,-1.1102E-16,0,0,0,0,16,14.659,8.0908E-17,2.6649E-16,8.5568,8.8818E-16,8.5568,0,0,0,0,0,0,package://TT/meshes/Left_Rear_Tire.STL,0,0,0,1,0,0,0,0,0,0,package://TT/meshes/Left_Rear_Tire.STL,,tire-2,Origin_base_to_left_rear_tire,Axis_base_to_left_rear_tire,base_to_left_rear_tire,continuous,-1.2156,-1.904,-2.2435,2.0942,0,0,base_link,1,0,0,,,,,,,,,,,,
Right_Rear_Tire,0.15107,2.2204E-16,8.8818E-16,0,0,0,16,14.659,-3.1348E-17,-4.5026E-17,8.5568,1.7764E-15,8.5568,0,0,0,0,0,0,package://TT/meshes/Right_Rear_Tire.STL,0,0,0,1,0,0,0,0,0,0,package://TT/meshes/Right_Rear_Tire.STL,,tire-3,Origin_base_to_right_rear_tire,Axis_base_to_right_rear_tire,base_to_right_rear_tire,continuous,-3.3656,-1.904,-2.2435,1.3179,0,3.1416,base_link,1,0,0,,,,,,,,,,,,
Trailer,5.9508E-14,0.17326,-5.4942,0,0,0,20000,2459700,9.4292E-10,2.3363E-08,2294600,-85390,327600,0,0,0,0,0,0,package://TT/meshes/Trailer.STL,255,165,0,1,0,0,0,0,0,0,package://TT/meshes/Trailer.STL,,trailer-1,Origin_tractor_to_trailer,Axis_tractor_to_trailer,Tractor_to_Trailer,revolute,-2.4406,-1.904,0,1.5708,0,0.0093775,base_link,0,1,0,0,0,-1.57,1.57,,,,,,,,
Trailer_Left_Tire,0.15105,-5.1514E-14,-3.1974E-14,0,0,0,16,14.659,4.8916E-18,6.5135E-14,8.5568,2.5319E-29,8.5568,0,0,0,0,0,0,package://TT/meshes/Trailer_Left_Tire.STL,0,0,0,1,0,0,0,0,0,0,package://TT/meshes/Trailer_Left_Tire.STL,,tire-6,Origin_trailer_to_left_tire,Axis_trailer_to_left_tire,trailer_to_left_tire,continuous,0.92503,-2.2435,-8.1,0,0,0,Trailer,1,0,0,,,,,,,,,,,,
Trailer_Right_Tire,0.15105,2.0428E-14,5.7288E-14,0,0,0,16,14.659,5.014E-14,1.9098E-14,8.5568,4.4409E-16,8.5568,0,0,0,0,0,0,package://TT/meshes/Trailer_Right_Tire.STL,0,0,0,1,0,0,0,0,0,0,package://TT/meshes/Trailer_Right_Tire.STL,,tire-5,Origin_trailer_to_right_tire,Axis_trailer_to_right_tire,trailer_to_right_tire,continuous,-0.92503,-2.2435,-8.1,-1.8703,0,3.1416,Trailer,1,0,0,,,,,,,,,,,,
