#{"t_start": 1683241558.491339, "env_id": "TruckTrailer-v1"}
r,l,t
-8557.502375,965,4.126063
-1854.820331,1864,8.222788
-3393.552491,12217,33.57588
-366.198603,1264,35.753842
-612.157896,1896,39.916709
-537.511756,1696,44.03427
-122.618204,2789,51.06162
-133.200734,2748,56.793844
-108.140378,2784,62.771646
-680.339746,1723,66.561686
-232.489879,2008,70.746655
108.43854,4943,81.146398
-5945.110947,680,82.279919
-170.026482,2027,86.459992
-190.551031,1980,90.574145
-392.310688,1537,93.99567
-65.900306,2477,98.885539
86.871671,3667,106.477708
-794.358248,1882,109.50993
-113.941003,2552,115.445023
-495.109478,1911,119.418184
-190.219284,2678,124.608251
-73.361856,2693,129.786605
-401.569397,1452,133.070346
-69.25653,2397,137.803055
-40.949062,3282,144.814084
-58.100602,2528,149.715193
-197.191343,1420,152.964969
-111.987214,1438,155.291216
-192.01124,1217,158.188568
31.34269,3310,165.226253
-188.360665,1651,167.861368
-156.612972,1282,170.853686
-148.686043,2745,176.060804
-307.960489,1461,179.286616
-162.492561,1467,182.549806
-2799.414872,1574,186.020769
428.785036,11735,208.110165
-39.895056,3125,214.859118
230.290013,5094,224.449204
-138.018485,1574,227.886724
97.636686,3580,235.18808
-56.31779,1697,238.797969
94.122563,2642,243.826764
-59.778525,1917,247.765749
-165.074767,1261,249.791716
-113.96847,1703,253.409625
-231.880012,1354,256.479619
-202.210918,1372,259.60021
41.530229,2492,264.429335
-7990.647328,1530,267.763777
-254.984951,1193,269.687644
-2507.470009,941,272.120379
377.81372,6604,284.822457
-190.86533,1135,286.659186
-85.414306,2586,292.533914
-18960.761592,1067,294.246662
617.345939,7454,309.219631
-139.164877,1334,312.296638
152.834209,3432,318.574001
-153.519513,1055,321.205558
-262.854529,1108,322.996521
51.822314,4739,332.996521
-81.985441,1911,335.987157
-29485.051672,607,337.898626
-158.013227,1308,339.989571
92.094877,2627,345.890689
-171.636881,1837,349.693249
-156.542208,2236,354.1081
-54.918761,2253,358.489844
-276.074127,1226,360.470234
-98.17009,1651,364.072895
-1268.680057,930,366.559865
-95.007448,2364,371.303943
919.629882,10281,391.759301
168.723521,2976,397.254062
-94.728484,1948,401.243905
-172.689726,1303,404.249779
-204.721445,1703,407.884956
-80.83162,2377,412.586164
-14362.948281,1033,414.254388
-581.757756,1239,417.179956
-70.253659,2132,421.466479
522.697817,12386,445.399208
91.562301,2719,450.528833
-47.8822,1924,454.487
-95.800116,2068,458.691794
-221.856257,1453,461.910328
-192.72088,1744,465.585702
364.43511,7781,480.919712
210.986738,2823,486.306543
-103.086049,1774,490.118743
-177.334162,1376,493.30512
-815.388943,1078,495.071909
14.665304,2329,499.724458
-172.775946,1493,503.063949
782.975875,12709,527.921344
-48.097114,2262,532.51542
-41.384042,2352,537.227031
-4246.726089,11649,560.553361
-247.003273,977,563.092574
-395.132628,1031,564.78259
-613.943672,904,567.193142
579.861207,8469,583.863634
-348.544609,776,585.152849
99.388871,2453,590.005049
-56.854478,1832,593.906433
-68.176175,2036,598.121399
-223.158959,1790,601.931546
-44.626269,1893,605.902267
-172.951921,1534,609.300312
-243.352756,6124,621.462498
-134.979002,1659,625.102011
-102.549802,1629,627.739438
-73.961637,1538,631.184792
-168.607401,1342,634.304586
-201.581405,1186,636.235087
-191.984637,1554,639.718131
-194.709347,1267,642.705826
224.335117,5085,652.532241
-94.21959,2153,656.9575
747.483843,10120,677.044838
89.561086,2693,682.255583
15.545821,3086,689.073463
-53.409091,2072,693.328265
-1903.107033,666,694.434438
-123.573956,1495,697.775277
-258.851425,1250,700.714568
-223.377923,1035,702.411982
-71.187955,2339,707.113016
-124.519612,1284,710.125642
-6852.029425,2280,714.68231
-75.775788,2259,719.241521
-61.248368,1675,722.88205
-114.451866,1628,726.43752
-67.6574,1989,730.61333
401.827319,10318,750.92828
-135.322927,1574,754.418313
-153.36468,1436,756.716034
-724.650339,946,759.173684
-118.109224,1416,761.429089
-166.64931,1147,764.179546
-402.334589,1042,765.864514
67.417975,3665,773.374468
-182.633879,946,775.826672
195.093743,5103,785.471937
-150.799773,1635,789.006675
-43.329925,2138,793.320693
709.659558,9137,811.62673
-144.318787,1886,814.614658
-100.566164,1763,818.313038
-45.286966,1753,821.986668
60.903077,2481,826.797654
-78.338836,1822,830.577128
-164.299297,1221,833.471264
-2781.347858,1640,836.997986
-217.942465,1243,839.015966
-94.562597,1687,842.581164
-113.705822,2228,846.992832
204.688561,10270,866.932385
-113.628707,2031,871.040799
-503.051134,1310,874.035949
-223.65946,1082,875.751626
-82.105999,1941,879.772178
41.130113,2255,884.228147
-2591.659595,730,886.338037
-3927.236143,530,887.228423
-122.090187,1689,890.867883
689.378763,9822,910.206612
-194.717763,1315,912.386393
507.192194,8330,928.847289
-179.84153,1959,932.96818
-4689.526672,1845,936.829167
217.821418,8662,953.794154
-115.098209,2535,959.76454
-414.303072,1106,961.582486
-186.268298,1209,964.495012
-488.514994,1073,966.258587
-760.121781,1017,968.872517
-58.608381,2103,973.186496
-271.890433,1413,976.444485
-126.413356,2276,981.04696
-246.008539,1672,983.75076
-77.83051,1980,987.874628
-3089.465868,865,990.24642
-195.818473,1696,993.918427
-213.263922,1269,996.012426
-162.720143,1475,999.33404
-227.604738,1152,1002.129956
-231.365475,1174,1004.050648
-7635.483679,592,1005.040437
-192.280306,1164,1007.896384
-66.584577,1876,1011.840099
-306.098559,834,1013.232233
-134.371783,1436,1016.500918
-163.778396,1568,1019.970075
-2923.996871,1146,1021.842517
419.378818,9849,1041.428384
-136.919293,1471,1044.75888
-98.625243,2215,1049.212452
-182.831363,1460,1052.503227
-11492.805141,560,1053.439966
1930.48626,13898,1080.630677
-294.929345,1068,1082.376937
-187.770204,1809,1086.246125
351.703533,6134,1098.273597
-92.289052,1572,1101.780058
-57.570963,2276,1106.372999
-3403.389191,8104,1122.270787
696.329609,9556,1141.495328
463.501747,6162,1153.647054
-617.884509,7982,1169.596315
700.990152,11221,1191.333295
-141.557316,1551,1194.788854
751.77326,10314,1215.133245
-86.260439,1972,1219.233101
-42.994854,2074,1223.456109
-1953.08043,506,1224.310841
278.720435,3827,1232.111261
545.145673,7379,1247.002535
-66.485834,2213,1251.483707
-59.095872,1514,1253.904615
853.482435,8781,1271.972545
-184.761592,1292,1274.082604
2478.842061,13719,1301.40134
-39.439288,3299,1308.404099
-100.606412,1480,1310.824108
-19998.658563,931,1313.292437
-60.93745,2085,1317.564254
990.205962,9822,1337.158407
-90.831758,11246,1358.692911
373.49585,7833,1374.308126
2525.065959,11186,1395.902599
3348.454273,18072,1431.63984
722.130793,11444,1454.748884
-133.832508,1368,1456.963755
-43.926569,1753,1460.68153
-160.66703,1144,1463.446946
-128.18071,1365,1465.640439
-22.191021,2061,1470.756139
-546.511674,716,1471.931368
24.327601,2386,1476.578214
-129.669212,1292,1479.575483
-42.664423,1992,1483.651088
-173.129296,1332,1485.825372
-508.267963,835,1488.116336
1049.553178,12550,1512.647574
-101.485511,1341,1514.809526
342.297676,6730,1528.77063
746.925806,8228,1544.927352
590.952697,8367,1561.143216
-91.247564,2388,1565.843386
-93.638484,1965,1569.896163
89.50435,3513,1577.246369
-7474.008074,1478,1579.624761
1814.320983,12294,1603.711977
-144.300172,1499,1607.054925
-213.334085,1227,1609.959416
-1785.214393,8774,1626.842067
2465.343845,12637,1651.48531
2406.158672,11976,1675.159164
-32.113914,1725,1678.856182
-221.645804,1150,1680.742535
1083.403379,7745,1696.226653
469.22283,7189,1710.796674
122.166305,3318,1716.969604
-11426.812727,498,1718.743159
14.852747,2195,1723.179835
-4.429355,2444,1728.009481
1651.946947,10463,1748.4533
824.818851,11849,1771.780276
1927.692382,18049,1806.544448
1333.97056,14654,1834.742551
-103.24495,1547,1837.253262
1118.975917,11830,1860.542001
-7053.059364,10344,1880.707174
1358.430264,16481,1912.468843
-183.540136,971,1914.9291
-241.347566,5948,1926.734879
-97.654912,1497,1929.222094
-50.975662,2352,1934.836668
-161.967843,2104,1939.125239
-38.084357,2024,1943.299934
-2380.465157,12492,1967.836838
-134.613364,1716,1971.549335
1770.769489,9818,1990.273201
1517.443397,16013,2021.969587
-390.816993,1536,2025.404917
211.967288,3634,2032.813345
-175.583427,1225,2034.816931
2544.491757,10306,2055.134491
4590.00432,21467,2097.120166
-62.913199,2469,2102.004526
2930.563622,16146,2133.306429
2111.696939,18105,2168.624573
4052.005564,24786,2216.083366
-2029.336444,936,2217.605205
-206.636679,1433,2220.830559
-50.121236,2231,2225.253732
355.98855,5629,2236.553857
-269.121279,1187,2238.481758
-152.028472,1585,2241.946646
3324.0978,17719,2276.425712
3583.859123,21531,2317.622764
3722.713586,18199,2353.087378
-460.872139,1066,2355.729043
-164.944405,1713,2359.398678
3132.404117,11807,2381.665143
-455.239509,1035,2384.304719
2852.961265,15822,2415.063689
1886.879779,13579,2440.780976
337.428212,7829,2456.274229
919.564748,8897,2473.303159
-117.143786,2916,2479.826379
268.420875,4266,2488.289958
3936.963377,20779,2528.847904
2334.203813,11242,2551.252004
624.624358,8465,2567.677741
4409.569917,25000,2615.873192
2203.397975,10212,2636.042164
-12161.012204,8261,2652.313688
-73.246607,2690,2657.498294
371.881108,8424,2673.903232
-210.608173,1386,2677.073484
4225.995089,22870,2721.348531
1063.835954,9712,2740.688988
707.611008,7770,2756.235352
950.134244,7671,2770.735526
-1781.49914,2875,2777.138606
-4305.769459,2012,2781.236095
-1365.181142,4175,2789.563059
-709.106527,1641,2793.089444
-364.293174,845,2794.463845
999.418584,6338,2806.854483
645.824325,8682,2823.667242
2018.131196,21980,2866.273986
-166.615934,4366,2874.886062
1263.359661,10739,2896.56407
-1746.298935,2200,2900.884647
-15.089841,2644,2905.902119
-2148.709122,2923,2911.405887
-2228.814249,1927,2915.37226
96.767651,3390,2922.508071
1399.631573,8621,2939.415978
-76.419719,2704,2944.616835
-2571.265168,15173,2974.614484
-86.48112,2245,2979.07848
-37.885439,2403,2983.735844
-95.387782,1414,2986.951666
-23210.028938,444,2987.695977
-1578.132167,2096,2991.935514
-31.988013,2087,2996.148789
-1442.909642,2730,3001.342247
-30.250225,3022,3007.902105
20.22196,2991,3013.50455
4118.237583,17794,3048.554728
-14.419453,2740,3053.718908
-8836.398475,2267,3058.211995
3827.212293,19891,3096.814003
-15.037044,1899,3100.744391
-220.157944,2265,3105.210541
-1215.23451,4734,3115.181495
-13455.965734,2491,3119.944381
-2475.644086,383,3120.593756
-1157.423457,2516,3125.423851
-441.933686,9817,3145.449925
-5044.561329,10713,3166.045971
966.795265,11071,3188.122273
4728.628692,16182,3219.526316
-1386.008442,2776,3224.74899
-6085.027962,2041,3228.86809
536.720923,13203,3253.890274
4355.578579,18681,3289.673243
-3056.308538,2410,3295.305969
-63.462048,2653,3300.305428
-2283.059534,2445,3305.047768
-47.013115,2532,3309.887403
4454.239596,18165,3344.966093
391.128919,9682,3363.826456
-134.783792,1732,3367.444382
-216.267812,927,3368.926124
-87.516449,2227,3373.307321
126.864873,4429,3381.884564
-1148.964799,2524,3387.640769
-38.367287,2935,3393.113589
-125.576413,2193,3397.429626
-1864.002223,2130,3401.687311
-2897.671621,2248,3406.14212
-41.502319,3191,3412.937133
-5.260297,3261,3419.821198
-53.234681,1912,3422.887076
-35981.487348,405,3424.492131
-44.651878,2690,3429.562417
-47.156466,2641,3434.649454
-211.91626,912,3437.049019
-9.392605,2680,3442.172484
-160.24589,2032,3446.32281
-124.99626,1373,3449.444271
-104.916736,1393,3451.6803
-144.363156,1650,3455.217906
-229.686666,986,3457.732587
-203.223227,1671,3460.380428
-17.64184,2846,3466.61629
-1632.625861,3253,3472.5216
-97.92209,1504,3475.821268
-2973.301794,2101,3480.028442
-870.158888,2854,3486.253536
4395.851318,19132,3522.968865
-91.457665,1803,3526.747141
-2630.603863,2334,3531.250224
2722.669351,17372,3564.270122
531.14205,9233,3582.75258
211.578697,8147,3598.783819
53.189684,3723,3606.394298
-98.759727,930,3607.895916
12.315229,2545,3612.8028
-836.970027,3158,3619.541028
-4638.599974,9317,3638.100442
-23.747096,3611,3644.613736
-33.813142,1978,3648.641361
781.665751,14047,3676.031743
-149.235506,1305,3679.072075
-29.483307,2546,3683.992283
-53.548541,3023,3689.653995
-203.051871,806,3691.899012
-127.683737,1839,3695.749289
-5268.878273,1717,3699.37316
-34.773369,2392,3704.05855
1276.457217,18350,3739.257756
-96.877565,2305,3743.77769
-6.220047,2765,3748.975292
-6941.766773,2309,3753.492889
-212.122933,2308,3758.008725
-101.515858,1687,3761.608805
-400.716659,2834,3767.838823
-351.087557,2915,3773.236418
-63.03602,1893,3777.141876
-430.929078,2672,3782.202679
867.228737,11588,3804.927217
-94.907828,2504,3809.784993
-2727.792993,349,3810.379611
-64.036383,2105,3814.63912
1222.402762,14173,3842.219911
-123.531802,2126,3846.487322
-4448.83541,10436,3866.588277
-2815.653997,341,3868.093859
-324.620046,3232,3874.087217
-5671.214402,1757,3877.80231
2121.425122,13340,3904.20176
-3076.454476,359,3904.807047
-73.276878,2049,3908.927334
-1007.577392,1971,3912.918631
-90.120056,1922,3916.81801
-231.589263,1034,3918.449984
-107.615653,1491,3921.717743
-420.055692,4444,3930.232092
-1673.25644,1946,3934.189233
-1582.362976,2010,3938.261636
-1174.453008,1609,3941.720021
-107.77372,15220,3970.541165
-16.086692,2204,3974.944371
-1999.418875,1989,3978.972801
-27.05235,2075,3983.189526
-986.160143,3171,3989.890789
-342.493886,2034,3994.011584
-17496.823787,1226,3995.952527
-61.364682,1776,3999.673673
-1245.60941,1441,4002.867954
-2336.535143,1778,4006.589932
-167.492696,4779,4015.673584
-359.834885,1632,4019.18506
-13414.275393,12642,4043.470345
-205.821731,1070,4046.09558
5666.588595,20106,4084.052606
2121.047646,11976,4107.304453
3100.168604,14316,4134.946725
-253.669162,3168,4141.64724
-712.285891,3600,4148.999097
-2156.735029,702,4150.142156
110.374631,12180,4173.429727
-5335.727871,11922,4196.613257
-67.282783,2022,4200.691424
-206.070002,913,4202.156492
-31.760144,2117,4206.38256
65.700371,3469,4213.547357
-72.590852,2091,4217.726714
-33.087675,2422,4222.396405
-3242.393363,2782,4227.633739
5702.573448,18431,4263.337652
-1202.070488,827,4265.589542
-18.482684,1602,4269.035953
-143.331533,1471,4271.3534
-47.108836,2367,4275.978155
