#{"t_start": 1687297195.2363322, "env_id": "TruckTrailer-v1"}
r,l,t
-176.299761,2180,11.593752
69.358623,4749,27.737981
-201.51965,2675,36.769338
-112.386966,3409,48.587225
-141.265373,2675,57.495988
-149.697029,2584,64.629466
-116.440565,4059,76.39323
-210.939087,2615,86.408603
-1051.127889,1945,92.590323
-4442.251438,1042,94.397601
-25977.540151,1385,97.773334
-346.996438,1802,102.532058
-224.406504,2075,108.722299
-190.678764,2450,115.90993
-413.875681,2298,121.881322
-352.495727,1813,125.973274
-985.569426,2441,131.937881
-1920.704668,1066,135.732399
-11280.771533,930,138.033339
-13891.467401,1521,142.929241
-7023.393358,940,145.234422
-28409.317905,988,148.843618
-100.377653,2970,154.781037
-125.755481,2918,162.176745
-4690.90679,2004,167.584779
-85.083831,2436,175.521202
-3973.277703,901,178.100838
-156.628594,3463,189.782951
-60.590036,2853,199.022489
-289.677875,2078,206.176434
-8071.232808,1402,211.183881
-416.332407,2426,219.261689
-203.380709,3516,231.258723
-200.165983,2706,238.645968
-2985.877703,1815,244.990458
-222.591967,2607,253.589925
-130.847004,3352,265.140056
-133.350598,3451,277.3453
-190.686669,3451,286.302319
534.629868,16624,336.049999
-55.692189,4043,349.63513
-5714.98186,1968,355.085006
-252.589594,2761,365.458142
-136.552061,3143,375.359401
-165.255285,3615,387.90494
-96.51162,2914,398.250893
-168.836853,3973,410.204446
-205.570354,2780,419.641556
-160.626675,4085,428.779294
-6370.984455,2240,435.339597
-92.376019,3642,446.576349
-5858.873176,1149,448.728627
-2621.457346,1030,451.519347
-123.501933,3649,460.241694
-8173.1877,2052,466.604792
-220.950891,2550,475.575761
-776.184021,1565,481.829062
-177.116979,2014,486.386878
-179.52409,3864,494.108087
-154.6947,3262,503.525676
-64.69731,4494,518.083611
-147.86491,2064,525.124729
-1.76173,4185,539.25145
-14.643079,5437,557.615887
-2170.21727,1319,562.701539
472.732427,12077,600.408888
-238.809258,3237,612.104373
-161.075654,3270,622.578472
-181.462484,3607,631.66946
109.888546,7343,656.029678
-2634.928016,1888,662.710588
-167.726603,2123,669.903066
-133.020708,3167,679.504268
-56.691463,4909,696.76517
-178.041737,4159,710.252468
-259.031189,3330,721.989017
-685.522018,1751,726.828401
-132.491065,4328,742.86104
-207.426401,3315,753.532623
-127.931244,4657,764.624388
-153.247831,4122,776.2894
268.393944,13393,809.904187
186.36283,9287,833.272346
253.030937,18814,893.787397
-260.185359,3499,904.202627
-120.368439,3803,916.941933
-113.71856,4127,930.407597
-161.676176,3415,942.191224
-179.633683,4788,956.374335
-113.263138,5493,969.31146
-90.29653,5041,985.600304
461.815039,10845,1021.667932
747.703135,17171,1075.812231
-155.573513,5961,1095.765666
671.817778,14574,1133.179974
-105.83806,4180,1144.850803
-120.44209,3109,1156.928308
0.31471,5470,1172.140905
-58.644888,4396,1184.160921
-108.395426,3953,1197.559019
312.598567,13696,1241.413239
717.556308,13175,1284.595232
-169.478884,6407,1306.343661
135.518419,7778,1325.465728
-96.753159,7895,1351.348094
3.225911,6515,1373.624001
410.697174,15180,1421.432555
-115.164383,2812,1430.322618
-3766.108668,13489,1469.342954
19.947624,4486,1482.826245
296.175466,17536,1526.629335
121.425205,14953,1572.931587
-192.710716,2378,1580.572954
-30.183724,4377,1594.483103
320.98158,15804,1644.420065
-45.371457,3742,1656.884869
61.941118,5083,1671.382648
1.833029,5403,1685.86832
626.452232,12669,1726.188421
-61.300373,3866,1738.680588
-10.275135,4383,1752.806867
-24.658945,17482,1810.765815
-69.52662,4155,1824.511238
251.277947,7084,1840.475007
474.517728,11513,1870.362097
-43.344626,4604,1883.627097
174.934328,10019,1911.259501
-414.778253,1994,1918.056383
86.149251,19127,1977.402018
-205.581631,3305,1988.847467
-174.454003,4519,2003.319869
-164.936858,2352,2010.713986
-255.952133,3688,2023.082779
-23.701136,5072,2036.238394
451.638111,18295,2092.022784
-160.799228,16738,2145.943626
203.649416,10082,2177.023453
567.256039,13369,2211.2719
-157.919313,4746,2221.599734
389.965744,8969,2245.769418
681.376706,11891,2278.870922
-132.106713,5300,2295.806983
-106.591678,5449,2313.920261
-190.908025,2250,2321.383501
-149.081061,5600,2339.759446
-248.404459,2191,2347.015586
-0.929888,5138,2362.749256
179.936264,6573,2383.939857
183.752496,7914,2403.333698
-139.922365,3589,2415.311154
-100.536871,3828,2428.137884
1000.046355,12620,2468.157701
-10.935173,4655,2483.607668
-1639.342854,9781,2517.238194
-2148.086932,1283,2522.434225
14.320811,5529,2540.147708
92.61133,11666,2571.225983
179.19552,9867,2595.894994
-4.461565,4579,2608.310318
-4024.436725,995,2611.013021
-248.559621,15995,2658.422746
451.565834,11054,2693.954826
-33.319191,4402,2707.874481
-93.869673,3171,2718.922939
-4077.014069,1050,2721.872543
-1376.539804,11183,2760.14394
-21.161653,4033,2767.861225
605.571551,10205,2800.626894
409.20801,11742,2839.118716
-288.312528,11577,2877.523764
-11.674503,13423,2919.338085
43.024625,4831,2931.662579
11.693168,3933,2943.707718
73.414578,5093,2955.523217
-145.824395,3242,2965.226707
-129.27858,2880,2973.48826
-8394.19125,897,2976.974553
224.176428,12463,3011.460732
640.381408,11899,3051.087771
-48.913245,4139,3064.734192
-14149.77119,12212,3102.091491
150.45124,6617,3124.686171
27.827859,5084,3139.510884
933.225263,12686,3174.476841
-137.834525,5237,3191.961922
19.249005,5003,3207.520024
824.928515,14801,3255.766338
815.458865,15121,3299.049308
123.803618,9811,3329.387415
18.704916,5662,3341.902003
541.242014,14849,3377.25835
322.529664,20255,3441.08633
-81.196718,4253,3454.959433
613.594639,10905,3488.421749
-998.739086,15582,3534.140421
-9.599625,4343,3548.311208
-82.698542,4905,3564.570782
798.143467,18107,3622.168125
1403.403704,23060,3687.173015
-87.183645,4807,3701.716035
286.563594,9246,3723.900801
451.218441,13949,3762.43692
-18.750844,5210,3779.779532
416.292832,6963,3801.569354
115.941142,14001,3846.027699
1068.919218,18050,3898.198507
229.582491,7913,3922.491857
817.942082,16923,3976.526945
-120.196879,3700,3989.472343
685.611405,10712,4023.658747
62.361611,13745,4058.98862
425.912251,18500,4112.606575
1104.606786,16553,4158.672524
617.240001,15844,4207.823017
-116.72011,3927,4220.705376
386.449653,12270,4259.810962
941.856924,19196,4315.987343
-323.377431,19063,4375.752715
-136.956236,5802,4393.512207
716.662191,16234,4436.591871
-954.562076,14365,4474.151531
97.172932,7692,4492.266151
-207.701392,2353,4501.070617
-67.722849,4843,4516.566853
-1055.347564,14631,4562.620713
