#{"t_start": 1672112276.2890112, "env_id": "TruckTrailer-v1"}
r,l,t
-46.988537,903,40.785551
-59.094717,1293,69.904893
-46.751421,1011,86.385668
-44.673753,1056,113.091364
-58.234149,1209,132.283774
-56.11801,1303,162.499154
-44.677073,984,177.885573
-69.130057,1275,208.001216
-56.714142,1265,236.196255
-57.256783,1308,257.989816
-55.392973,1310,287.989211
-55.316034,1377,309.594059
-62.289258,1041,336.50703
-55.609446,1282,365.995275
-53.966582,1380,388.093059
-54.9145,1239,416.981871
-54.668293,1302,446.795577
-53.310689,1191,465.980583
-53.43982,1260,495.081623
-55.88672,1167,514.100784
-56.459316,1272,543.595287
-45.131579,857,557.887545
-56.202501,1265,586.301608
-57.620213,1207,615.09132
-58.703707,1290,635.608795
-45.014801,965,660.499347
-58.420481,1238,681.38482
-58.787253,1244,709.891058
-56.651819,1232,729.3973
-34.192016,947,753.099614
-58.205882,1175,772.485658
-44.635717,961,796.099067
-55.817629,1350,826.791615
-55.922374,1261,846.077713
-55.115897,1270,875.484164
-54.041086,1224,893.998816
-54.960512,1251,923.308575
-53.681601,1182,952.588266
-53.553284,1215,970.483134
-56.045915,1127,998.398961
-52.164802,1261,1017.194673
-54.579884,1137,1047.298888
-55.413036,1116,1075.997607
-57.548165,1201,1095.580482
-57.044757,1215,1124.408559
-53.269729,1189,1142.891986
-59.202415,1120,1170.602222
-44.528923,881,1183.578445
-44.95188,805,1206.490452
-58.465075,1072,1223.088418
-56.313045,1159,1252.091318
-44.717816,1016,1267.897662
-44.90552,888,1293.085838
-34.193497,852,1306.501577
-44.436832,876,1320.501961
-45.4819,866,1344.087997
-59.05689,1169,1361.280525
-34.185537,939,1385.594581
-34.198247,846,1398.395529
-57.887344,1124,1426.294221
-45.965911,962,1440.980609
-58.667157,1076,1469.101624
-58.111092,1244,1499.782528
-59.511051,1122,1517.095439
-57.511952,1108,1545.501926
-53.972875,1269,1565.486758
-57.025369,1219,1595.096497
-53.983332,1201,1612.883006
-54.299995,1132,1641.694439
-53.625111,1223,1671.604419
-52.765431,1208,1692.69944
-52.504024,1169,1721.887911
-48.336898,1205,1740.999159
-52.000425,1334,1773.686628
-50.132921,1329,1805.284552
-52.417805,1265,1825.678547
-48.412441,1293,1855.883755
-53.413572,1377,1887.688633
-45.424526,1295,1908.892483
-44.140669,1331,1941.69397
-67.555084,1692,1980.899628
-57.566275,1870,2019.306864
-62.953067,1761,2046.508351
-62.903885,1953,2085.803872
-62.420637,3515,2156.794429
-60.545863,3181,2224.198935
-36.837075,2558,2272.493861
-54.448224,2857,2325.489214
-45.285182,2599,2383.89457
-45.532743,2598,2434.189092
-37.128699,2502,2482.404146
-39.72972,2311,2526.707784
-37.596562,2453,2575.202413
-48.683352,2435,2631.790626
-54.133179,2232,2675.005238
-34.262182,2313,2720.085432
-46.71591,2466,2767.280359
-59.021799,2812,2822.001958
-32.808774,2385,2877.391744
-43.101306,2703,2928.404192
-57.687224,3029,2983.798312
-45.286127,2827,3046.293417
-48.081778,2932,3101.696125
-35.39388,2910,3166.5945
-39.250278,4248,3248.682425
-38.275626,2914,3303.095652
-38.637255,3541,3376.302693
-36.510156,5363,3474.084276
-48.560542,5262,3578.497832
-7.780543,5274,3686.308036
11.625835,5718,3789.383744
4.481975,5571,3899.681581
32.874875,5204,4006.379166
51.118762,5236,4105.600315
61.964316,5337,4211.794686
-64.364187,1369,4231.996844
-62.713786,1400,4263.789906
-65.94299,1358,4293.877467
