#{"t_start": 1675829573.214364, "env_id": "TruckTrailer-v1"}
r,l,t
-62.783413,5837,59.07304
-77.311171,1461,72.455173
-63.258311,934,82.789663
-67.492211,1002,89.467864
-56.387871,4686,127.194973
-75.660994,1121,139.67866
-43.577081,5022,241.978305
-81.722712,1763,279.57749
-80.811251,1126,307.870636
-71.129317,1186,325.656299
-88.542526,4386,413.464366
-82.020242,1200,443.370546
-77.566677,1261,474.572469
-41.926849,4204,559.063702
-72.606727,919,573.353402
-69.125535,917,596.779127
-70.059315,1381,619.558315
-55.780467,816,641.571117
-74.93759,1107,659.470036
-83.564135,1458,691.55652
-68.767559,1125,708.760387
-52.221675,2275,761.25214
-73.292735,2368,806.274385
-74.588267,858,819.973783
-71.113133,1407,851.353041
-88.95816,1543,884.452213
-36.490151,1712,911.053747
-54.003588,3287,978.558775
-71.340878,1850,1017.378562
-93.985028,1092,1035.664174
-71.391738,1475,1066.781521
-66.872118,908,1091.273195
-72.42466,1859,1129.555495
-67.822757,871,1143.15979
-73.360341,2489,1191.463349
-67.896501,1270,1221.566662
-71.031742,1524,1256.25397
-65.887936,864,1269.570251
-40.59396,3391,1340.669955
-64.286743,1230,1359.368928
-65.377171,1047,1386.760621
-67.388567,1028,1402.377718
-68.767558,1355,1434.286806
-71.551295,2113,1475.954824
-71.610974,1435,1506.562162
-69.270084,1377,1527.681133
-57.16242,800,1550.467753
7.983428,9654,1733.777311
-69.054375,1347,1763.470213
-71.17898,1227,1791.775764
-72.459037,2515,1839.352534
-74.808169,1804,1875.659032
-51.230932,2790,1926.07751
-73.979853,1689,1961.565725
-67.291758,1273,1989.978757
-67.563412,1077,2006.465274
-69.103128,1028,2031.075386
-59.135491,863,2044.673201
-61.965757,2125,2087.578807
-49.674889,2393,2133.479799
-68.552176,1148,2160.363157
-76.127021,1523,2194.483258
-74.207748,1703,2221.474334
-67.746136,1267,2250.276043
-45.014672,7583,2408.358731
-65.819594,3952,2487.054625
-34.156549,14742,2780.480177
-31.602188,7738,2937.072293
-77.951166,1033,2953.666305
-13.752416,8312,3119.168475
-83.463206,1845,3158.673132
-84.262514,799,3171.279855
-81.12725,817,3195.779969
-85.392922,8271,3362.482723
-60.236271,1846,3400.656915
-53.086291,6447,3529.177725
53.876132,8428,3695.657647
-55.624508,734,3707.083128
15.662216,5022,3815.176608
11.984296,9490,3997.680236
-19.823106,1597,4033.775515
470.922503,16529,4364.765774
-70.552727,1261,4394.964736
17.454581,7293,4546.559982
330.695907,15620,4851.870418
280.335037,20000,5253.881455
-58.056355,774,5265.859185
511.05958,19985,5668.377748
-72.937195,1060,5695.877446
416.442364,15522,6001.359166
681.789968,15022,6300.168721
4.609391,9358,6490.763679
-56.615322,9015,6668.16627
31.142328,8409,6848.676485
63.384659,9428,7032.07498
-60.819953,1068,7059.162249
89.307104,8302,7228.374244
-66.556425,793,7242.377533
125.611871,8934,7419.555006
-83.524593,815,7442.367941
723.715019,15608,7757.562116
322.097182,19201,8138.063376
84.612093,5216,8237.560265
-20.71139,2610,8298.276987
597.081722,19912,8695.672934
83.260456,7993,8857.774864
697.902719,12839,9120.351973
354.912769,17113,9459.9767
56.300034,5904,9581.675972
585.373772,14187,9869.554382
-72.269816,802,9881.762056
-24.042332,3508,9955.481468
-68.357445,840,9968.775743
178.750344,7424,10118.965822
-71.281974,1027,10134.976257
825.116474,14104,10428.057377
850.683536,13078,10695.77611
-58.891108,681,10707.476875
-51.188606,686,10718.56743
-43.62583,4238,10804.58228
561.069333,11933,11043.177493
-11.429946,8938,11226.868182
23.431032,8679,11398.976852
-11.970524,5852,11517.677505
198.548669,8859,11692.576869
538.430885,20000,12093.652082
708.277579,19508,12476.555683
248.739394,8517,12644.076517
753.447669,14631,12944.687182
549.006492,11723,13169.068692
631.147218,17146,13519.567358
865.488524,13583,13784.159508
1002.307642,15718,14109.261827
128.988275,5487,14223.570624
-76.971737,831,14238.27161
113.059385,8679,14410.567893
138.874849,6796,14554.354585
-78.482759,890,14567.361677
988.799531,18475,14932.072107
709.683943,18121,15294.8536
871.803539,16190,15618.182139
698.987194,19016,15989.286246
125.636361,7944,16150.161756
170.868662,7096,16288.772901
127.43296,5306,16400.176873
394.151152,7518,16562.979617
790.153226,17835,16911.673438
83.761967,6093,17034.869606
66.491707,3963,17115.277823
778.652987,19216,17504.753138
933.140103,15040,17798.976231
547.70041,20000,18198.57629
-69.864767,704,18209.379122
517.34311,20000,18616.854255
672.642972,15819,18935.581686
238.995775,7862,19101.071992
981.681616,15900,19413.481167
920.207425,12778,19676.579195
500.691007,20000,20076.975063
758.84742,15364,20387.7752
870.27696,17193,20727.477116
283.497508,7328,20883.176497
1010.271383,17248,21221.86443
1013.415682,14602,21509.466395
123.891175,7238,21655.6699
840.641795,16746,21984.854549
855.707654,13204,22234.173489
684.68252,18711,22612.079998
1013.586377,14801,22902.27397
738.599511,20000,23302.376954
-74.670229,1516,23325.259342
550.372305,20000,23718.5679
1012.30398,15388,24034.655396
-64.200024,839,24047.555642
672.329266,20000,24442.673903
995.695727,12962,24687.47051
789.265608,20000,25084.069964
1010.831229,16675,25407.476277
855.94636,13314,25674.981827
907.172062,12174,25912.570767
999.327113,17515,26252.373821
131.850989,7963,26410.269254
830.29323,17459,26744.373035
-78.585194,715,26765.276237
1000.082298,17229,27101.275594
588.902707,20000,27492.770339
1007.591827,11943,27730.682173
678.474825,20000,28129.173801
898.429102,18973,28498.477847
899.801502,17169,28829.57725
679.468514,14499,29113.656581
-72.97394,2195,29156.064623
920.473169,17003,29503.672198
611.476422,20000,29889.168244
620.969302,20000,30286.254606
-62.236972,1838,30322.473653
1011.182607,16192,30642.956785
576.936734,20000,31037.967283
1010.108721,17163,31369.367575
953.385635,14992,31660.875206
-80.518154,833,31685.158962
892.068975,15875,32005.370289
1012.823898,14840,32293.277571
-29.385775,1904,32331.567749
1011.193815,16471,32654.775863
