"#{""t_start"": 1671801145.2687807"," ""env_id"": ""TruckTrailer-v1""}",
r,l,t
-47.083539,965,21.82756
-44.712149,928,27.954394
-45.915827,911,37.62598
-46.268962,890,43.435949
-44.452373,925,53.950317
-58.363208,1194,61.544759
-45.672094,947,71.627956
-47.543065,918,77.818836
-46.478159,951,88.050809
-47.421399,939,94.036419
-55.798087,1182,105.510458
-45.942727,972,111.734878
-44.679102,937,121.927207
-45.579427,873,127.725671
-46.663305,911,137.803352
-46.62358,932,143.818506
-44.336838,995,150.234359
-64.513555,1023,160.347941
-45.224138,994,166.651463
-47.974995,927,176.714532
-59.367675,1150,183.934253
-34.179722,1000,194.316618
-44.266583,940,200.31308
-46.276843,979,210.416558
-45.613774,913,216.022648
-56.567114,1113,226.922484
-59.416883,1181,234.325919
-56.50572,1123,245.306114
-55.513761,1160,256.617761
-55.324197,1175,263.798758
-58.035162,1206,274.943512
-53.54142,1191,282.414882
-57.212832,1138,293.209034
-57.172563,1110,300.121498
-52.779573,1181,311.252743
-52.708959,1187,322.524614
-53.740981,1121,329.645884
-52.426583,1153,340.717583
-50.732476,1217,348.512811
-51.234912,1256,360.131746
-49.831801,1133,367.223343
-52.472609,1120,377.944072
-54.975311,1067,388.722536
-53.423551,1138,395.531879
-50.560959,1181,406.618081
-50.229422,1139,413.505293
-52.03487,1122,424.205737
-50.484806,1132,431.256835
-54.153094,1086,441.912212
-51.546627,1092,448.655136
-47.574284,1182,460.015034
-44.882555,1140,471.027536
-45.167616,1186,478.448888
-49.817462,1151,489.534197
-49.776189,1106,496.341403
-45.317476,1183,507.515431
-48.401645,1160,514.515322
-65.36642,1547,528.004396
-55.159534,1615,541.804248
-46.277025,1165,549.027815
-44.154778,1243,560.643285
-66.197024,1533,574.019445
-45.59692,1265,582.138174
-48.517403,1118,593.304582
-48.046591,1207,604.913846
-48.421124,1142,612.141188
-44.80411,1258,624.323831
-47.073589,1290,632.344005
-47.103051,1212,644.025979
-48.034537,1285,656.341564
-48.559522,1182,663.640092
-46.422353,1200,675.040716
-45.310065,1162,682.411456
-66.348307,1461,695.514545
-46.419875,1193,707.024072
-57.298229,1680,717.233798
-52.090713,3617,746.329533
-64.661591,1577,760.040556
-62.741998,1575,773.402676
-56.414706,1706,787.841787
-45.583222,1308,795.753003
-58.011339,3528,824.846034
-64.673352,1783,839.423222
-55.846748,1767,853.905036
-65.277532,1687,864.123008
-57.442106,3217,891.236784
-59.530813,3065,917.431039
-58.470729,3118,940.037051
-55.581402,3175,966.75514
-41.131247,2488,985.431134
-41.856197,2597,1005.31474
-51.339933,3011,1031.353785
-38.716699,2961,1053.71293
-56.28287,3127,1080.256697
-41.173802,3186,1103.146571
-50.995175,3032,1129.300996
-44.438855,2560,1148.3148
-39.735482,2246,1165.32164
-46.134195,2578,1184.513518
-48.161484,2618,1204.055467
-42.446157,2662,1227.700075
-49.044077,2526,1246.618679
-36.836251,2509,1265.250481
-47.169416,2772,1289.319814
-47.208357,2567,1308.130601
-37.833328,2939,1329.516557
-47.023375,2919,1354.500599
-47.835278,2943,1376.245251
-47.248377,2868,1400.997616
-37.440007,2949,1422.20846
-41.946601,2963,1443.931919
-55.589624,3486,1472.635365
-56.81701,3905,1504.228029
-58.264489,6734,1555.92791
-58.220297,7292,1614.740354
-47.725305,7366,1669.426237
11.758849,6578,1723.835551
3.715754,6467,1773.436306
-48.738494,5942,1820.914367
3.29847,5935,1868.34172
31.289102,5839,1915.142831
44.228489,5878,1957.310792
74.213503,5777,2003.506941
61.45365,5486,2048.626438
62.369696,5585,2094.042291
42.307676,5277,2133.707605
40.464986,5130,2175.450577
3.446805,5294,2214.300779
11.189784,5374,2257.819719
-48.111368,1066,2264.453608
4.402359,5174,2306.715649
-47.440446,1076,2313.403024
-48.449842,1055,2323.43675
-49.020483,1060,2330.115676
-48.043136,1073,2340.638109
-17.665477,5065,2378.713688
31.021563,5608,2423.622764
-8.97367,5544,2468.011396
-47.341601,1103,2474.606603
-6.879807,5156,2516.424724
-18.487027,5599,2561.443266
153.11687,11758,2650.344189
181.340088,11651,2740.851833
163.044105,10897,2825.24218
304.171773,16359,2953.317409
264.832121,16197,3080.44782
335.981499,15889,3206.023197
418.911254,16080,3332.126391
501.132061,15776,3456.519238
482.702856,15547,3574.453819
521.632933,15596,3697.000762
553.049491,15459,3816.433498
591.446919,15514,3939.910491
542.664668,15554,4062.431262
575.62675,15649,4181.421532
585.843664,15505,4303.929429
554.636257,15439,4421.80922
585.802654,15497,4545.431217
605.609225,15416,4662.321999
585.823797,15384,4785.139479
575.835973,15336,4904.12519
645.835613,15560,5028.203764
655.87042,15335,5149.914304
665.889522,15242,5267.407819
765.807346,15133,5383.156344
745.828263,15022,5502.449787
785.816456,15047,5617.023079
