#{"t_start": 1668081328.6464841, "env_id": "TruckTrailer-v1"}
r,l,t
-964.83274,937,42.005304
-963.325196,962,57.929595
-978.802865,698,81.209003
-956.310084,1114,97.916949
-928.618458,695,121.015083
-961.570361,994,136.511862
-962.504234,974,163.119029
-962.739428,968,177.819705
-960.854158,1002,205.522941
-960.063628,1008,221.412017
-958.355323,1038,249.106707
-957.106768,1081,265.123027
-956.632742,1103,294.222535
-956.207897,1131,311.700009
-959.923738,1010,338.209487
-959.78277,1010,353.414882
-958.33452,1047,380.802646
-965.411953,932,395.422695
-956.140722,1184,424.999
-964.716432,945,440.311632
-977.501413,732,462.629056
-928.664789,708,473.91618
-928.644966,711,485.420899
-928.603425,695,507.022925
-961.876967,994,523.404817
-963.737878,963,548.917931
-928.620199,692,559.927096
-928.638901,705,572.018068
-978.933756,708,593.317291
-963.596078,960,607.606855
-978.53323,704,619.502335
-928.61507,697,640.901228
-928.661886,694,652.104903
-928.665982,697,664.01982
-928.633786,697,685.403223
-928.656969,691,695.809198
-928.648138,716,708.016496
-928.625152,716,729.307462
-928.612407,706,741.52466
-928.638363,713,753.220792
-928.647277,705,774.408354
-928.646279,711,786.120602
-928.663342,735,807.525651
-928.64003,716,818.228591
-928.667548,709,830.209262
-928.664737,725,852.223304
-978.461435,704,864.003376
-928.649684,710,876.599335
-978.581116,712,897.104508
-928.660157,723,909.122529
-928.647021,714,921.800144
-928.645315,708,943.830385
-928.659649,710,956.009965
-928.660078,707,967.325284
-928.65251,709,988.72829
-928.639318,723,1001.22735
-928.653373,713,1012.622653
-966.063819,939,1038.608984
-928.624347,719,1051.003893
-964.758344,953,1077.414104
-928.638476,706,1089.321177
-928.619643,712,1100.818053
-928.648437,728,1123.717907
-928.647916,722,1136.228063
-928.665861,740,1147.699193
-965.419674,945,1174.108784
-928.665775,713,1185.61742
-928.667585,709,1208.625978
-928.626904,711,1220.612684
-928.662997,735,1231.71573
-928.652802,706,1254.216434
-928.651147,728,1265.422016
-928.621719,717,1276.721338
-928.637031,705,1299.409271
-928.630497,710,1310.616617
-928.6549,709,1321.819664
-928.636794,716,1344.323758
-928.660846,718,1356.021193
-928.641416,716,1368.304987
-928.656774,730,1391.217855
-928.621701,703,1402.218777
-928.617266,718,1414.322958
-928.655884,731,1437.120945
-928.665125,726,1449.311781
-928.655312,729,1471.70339
-928.636877,746,1483.422472
-928.645949,729,1495.210296
-928.637986,732,1517.219652
-928.643488,736,1528.919291
-928.645838,717,1541.026929
-928.660809,731,1562.019464
-928.665831,719,1573.705984
-928.630736,723,1585.900362
-928.623942,724,1607.601704
-928.649919,715,1618.614561
-978.673278,722,1631.099018
-928.645553,748,1653.206729
-928.636692,724,1665.429938
-928.630194,711,1687.213932
-928.633472,723,1698.200706
-928.654217,733,1710.401116
-928.650726,719,1731.826362
-928.626151,720,1743.208084
-928.637103,720,1755.614086
-928.631614,727,1777.101347
-928.660173,718,1789.723017
-928.643041,740,1802.919732
-928.663104,696,1823.431095
-928.650465,741,1835.01056
-928.641098,748,1847.416981
-928.635415,715,1869.415514
-978.706325,715,1881.903294
-928.639679,713,1894.121404
-928.648042,716,1915.931115
-963.320676,992,1932.510669
-964.001493,967,1957.499354
-928.626568,719,1970.224341
-961.199353,1027,1995.31314
-953.959404,60000,3220.220659
-956.14848,6412,3351.905168
-956.188417,4129,3436.625285
-956.280564,13558,3717.123597
-956.223554,18975,4116.712571
-956.1443,23209,4587.430419
-956.562604,53750,5683.021461
-952.952473,60000,6905.427836
-973.509074,60000,8156.330335
-973.112588,60000,9407.630196
-972.664031,60000,10689.627889
-975.588049,60000,11942.025945
-975.808393,60000,13193.929644
-973.803394,60000,14424.418755
-974.57905,60000,15635.228205
-958.609349,60000,16861.515695
-976.803128,60000,18088.321112
-979.507429,60000,19312.217316
-980.657804,60000,20537.224408
-982.093477,60000,21760.925214
-981.20577,60000,23000.098399
-975.084497,60000,24230.121947
-928.650876,1336,24260.31996
-928.648864,1346,24281.814387
-928.657042,1362,24313.816979
-928.667267,1306,24345.21181
-928.652056,1313,24366.81463
-928.665764,1290,24398.726346
-928.666569,1335,24429.426254
-928.664378,1279,24449.518719
