#{"t_start": 1669088094.558222, "env_id": "TruckTrailer-v1"}
r,l,t
-950.752385,60000,1251.21
-950.355916,60000,2482.90694
-956.581333,10150,2694.001746
-928.658612,694,2705.507299
-928.591125,691,2726.814963
-955.693395,12040,2978.005967
-958.270975,694,2988.698023
-928.636538,689,2999.907268
-928.65316,694,3021.004246
-956.083071,9107,3201.515794
-952.664769,60000,4423.003693
-928.611206,686,4445.387396
-956.640071,17290,4797.596291
-950.479416,60000,6026.494886
-928.666203,694,6049.404802
-928.592716,695,6060.594414
-928.65165,689,6070.994345
-928.657036,694,6093.300658
-955.910474,51674,7153.502131
-928.62221,704,7165.508014
-928.606341,697,7188.80812
-928.667279,693,7200.305637
-928.612102,693,7211.298006
-928.659029,699,7232.801509
-928.601654,691,7244.790469
-928.665076,703,7255.700633
-928.60997,694,7276.303982
-928.631834,688,7288.305348
-957.291243,20595,7707.009987
-928.64819,703,7719.600266
-928.636326,693,7741.507257
-928.658546,712,7752.697894
-928.612538,702,7774.000142
-928.633339,703,7784.905194
-928.611074,718,7796.204346
-928.622374,697,7818.811366
-928.610541,704,7829.810306
-928.659852,691,7841.300632
-928.625394,694,7862.704031
-928.623221,702,7874.498785
-928.620066,697,7886.513242
-928.647661,709,7907.119497
-928.598361,693,7918.61448
-928.618876,697,7930.804936
-928.595804,696,7951.804065
-928.644758,705,7963.111811
-928.642558,712,7975.605608
-928.635909,697,7995.811077
-928.606892,698,8007.40951
-928.652206,692,8019.594174
-928.656984,705,8041.017612
-928.667217,705,8052.202594
-928.661994,696,8063.505034
-928.642072,700,8084.710406
-928.647325,705,8096.388941
-928.612086,701,8107.992768
-928.654671,697,8128.705852
-928.617977,700,8140.005038
-928.629695,695,8151.692532
-928.645894,702,8172.409822
-928.635853,697,8183.991943
-928.641811,701,8195.193446
-928.667576,697,8215.594894
-928.6191,698,8226.614448
-928.606412,697,8238.204895
-928.613067,699,8258.410281
-928.653404,695,8269.709867
-928.610326,693,8281.102714
-928.662304,693,8301.616318
-928.637343,707,8313.587452
-928.612113,693,8325.117737
-928.602954,695,8345.699266
-928.657524,692,8356.900218
-928.614049,715,8379.204401
-928.641686,708,8390.29464
-928.613598,700,8402.200761
-928.608353,696,8423.705822
-928.625551,700,8436.094283
-928.588288,700,8448.11694
-928.613459,701,8471.202544
-928.616475,688,8482.608641
-928.645615,695,8494.39917
-928.633447,698,8515.807546
-928.601243,695,8527.311003
-928.65333,701,8539.203984
-928.620407,703,8559.906206
-928.610751,700,8571.811723
-928.621745,699,8582.819172
-928.592114,697,8604.511529
-928.623454,692,8616.315069
-928.609356,714,8627.790164
-928.639841,696,8648.706081
-928.662779,693,8660.903078
-928.610281,697,8672.091164
-958.108571,689,8693.407836
-928.605883,688,8705.304917
-928.653532,695,8716.501496
-928.637784,694,8739.81432
-928.64797,692,8751.507228
-928.642938,692,8762.087987
-928.631121,692,8782.588075
-928.646738,699,8794.586776
-928.606235,701,8805.402727
-928.666706,690,8827.5983
-928.617028,706,8839.507053
-928.641117,701,8850.911855
-928.608576,696,8873.816302
-928.612735,694,8885.61144
-928.604396,709,8896.899063
-928.653523,692,8919.2929
-928.618712,695,8930.492143
-928.587068,694,8941.697708
-928.628625,699,8964.601594
-928.604186,690,8975.211789
-928.663614,699,8986.705485
-928.607299,699,9009.007751
-928.605401,698,9020.109097
-928.642467,690,9031.299171
-928.626376,695,9053.104951
-928.644648,693,9063.808368
-928.629315,694,9086.996264
-928.620073,701,9097.80306
-928.646816,691,9109.010638
-954.412631,60000,10336.805722
