#{"t_start": 1682068885.291147, "env_id": "TruckTrailer-v1"}
r,l,t
-482.001245,1268,52.492869
0.0,1,52.999313
-1052.329037,833,80.781468
-773.118035,2029,129.277161
-1500.288556,4164,222.901356
-1984.366264,5352,335.197372
-161.76232,1668,375.287642
-922.470516,965,391.600919
-643.992514,3143,467.677443
-613.897775,1572,506.193299
-1177.346073,1295,528.801326
-1465.961979,1251,562.500236
-425.19148,1765,603.690868
-205.620095,1775,644.990432
-248.210491,1541,672.582787
-670.212749,1898,717.796562
-184.238027,1796,760.577842
0.0,1,761.006553
-794.390381,2736,830.395586
-1166.517476,2436,884.60622
-178.978826,1567,921.489556
-185.384518,1671,951.296057
-318.043159,1672,991.798199
-248.238523,1678,1032.499417
-336.938977,1749,1073.58823
-707.158833,2128,1121.100898
-247.775482,2379,1174.884645
-449.61271,1759,1216.883471
-387.474593,1820,1258.997572
-113.748002,1499,1296.592087
-260.818664,1165,1318.07974
-467.742685,1629,1356.395843
-169.277767,1216,1388.801777
-238.318456,1839,1421.483757
-468.953689,1158,1451.998493
-1074.371785,1186,1484.394235
-1054.959185,989,1501.402361
0.0,1,1501.997184
-1114.64001,1886,1546.094805
-228.58633,1511,1584.386892
-657.677374,2130,1631.791628
-219.191762,1532,1660.501814
-1187.215884,1319,1694.598019
-1371.097476,2854,1764.680655
-291.26258,1318,1789.002435
-772.831722,2198,1838.175137
-394.788411,1772,1879.289408
0.0,1,1879.805191
-402.830276,1880,1922.999575
-1289.037542,1656,1962.596534
-727.271809,1131,1983.480199
-252.104231,1532,2020.588773
-765.383505,1818,2063.087847
-856.1991,2278,2113.982158
-2351.150011,5260,2233.894412
-1377.338233,1055,2252.589455
-592.45862,1978,2297.397731
-1035.769984,2123,2346.183981
-968.545564,1999,2391.689207
-600.034606,2762,2462.676499
-216.759868,1627,2490.987365
-577.691832,1904,2534.502569
-1091.876433,961,2563.092163
-1933.034549,3242,2629.291056
0.0,1,2629.798834
-700.011723,2105,2677.99268
-1541.952175,2299,2728.699169
