#{"t_start": 1682067973.3055215, "env_id": "TruckTrailer-v1"}
r,l,t
-3360.203312,960,23.099863
-4795.56353,3284,54.766807
-1381.996451,2458,76.364294
-3632.893375,3099,102.192726
-4395.399557,6605,164.207025
-1823.633267,9526,245.914863
-3638.310962,1178,258.763248
-800.491938,1888,276.302586
-1952.756096,1923,294.268494
-4441.455003,4144,331.578174
-1938.369834,2712,355.17967
-2039.706925,2246,375.097305
-1237.53633,1925,392.860827
-3471.988669,1223,405.906317
-569.866246,1428,416.177801
-2935.48341,3903,452.083078
0.0,1,452.304449
-813.289946,1920,470.399616
-987.743466,1817,487.597291
-486.716038,2045,506.374797
828.81529,2347,527.099828
-1864.775365,2481,548.81531
-3162.583068,3395,581.708256
-2239.369054,786,587.475063
-1509.870395,2118,607.017462
-1565.393955,2121,626.59365
-575.381058,1643,642.810534
-1224.00205,2613,669.867917
-1039.085615,2053,688.616751
-4094.404151,3385,719.363687
2157.998067,12438,872.476427
0.0,1,872.702531
-1623.511937,3088,907.882258
-1512.574152,4034,1003.276258
-751.583103,1706,1046.372436
-3464.053336,3668,1121.366556
-444.144789,1561,1161.785119
-652.883851,9038,1372.869408
-1970.185928,2028,1421.491138
-1649.839796,1923,1455.67144
-1314.474728,851,1481.773909
-2490.732425,956,1500.168602
-3536.087879,3191,1578.372678
-1267.879178,1088,1598.576178
-535.503357,1412,1633.074293
-289.418298,1602,1672.578951
-2266.527658,3000,1737.68626
-2404.695668,2095,1785.586426
-1610.901656,2146,1835.083802
0.0,1,1835.661594
-721.74516,1306,1870.485901
-1124.312666,1930,1915.761925
-666.427711,1527,1954.06154
-672.840084,1175,1975.290614
-2122.517119,1097,2005.277206
-1384.121792,1720,2048.168429
-2334.654475,1384,2073.367968
-911.673642,1218,2105.077521
-1263.024309,1380,2139.873503
-1779.899388,2745,2199.471062
-752.314928,1135,2231.377346
-2708.482343,2303,2283.771003
0.0,1,2284.284369
-348.460233,1619,2314.285062
-274.359726,1599,2354.365654
-873.908231,1856,2400.2882
-1669.878639,16509,2778.666916
-1825.080541,2392,2832.281123
-1721.188203,2553,2899.664215
-6850.100151,7111,3052.261584
-1329.272211,3181,3129.681184
-3225.258244,3016,3195.462472
-2735.199843,802,3221.172957
-5176.414403,3480,3293.967897
-1061.065929,1354,3328.978039
-1307.691389,2601,3385.386611
-560.025631,1626,3425.378196
-851.204455,1327,3459.583802
-893.958759,1597,3488.174794
-3193.5129,936,3516.873657
-916.937173,1391,3553.689359
-2670.77228,3366,3624.775379
-6592.725226,3511,3708.768919
-551.188861,1999,3755.381773
1197.269435,2524,3810.870643
-1460.388726,1085,3842.781979
-4600.293628,3693,3919.063847
-690.152864,2416,3985.977307
-462.109103,1006,4003.383348
-3640.881314,1636,4044.178133
-551.02452,2044,4092.073669
-676.086685,2220,4142.762774
-1703.854751,994,4160.086967
-3124.535439,894,4188.378297
-2953.107995,2934,4250.874814
-3343.949095,1311,4286.58243
-1031.588876,2054,4335.586267
-870.253486,2138,4385.680947
-2225.830369,912,4402.384754
-730.969811,2453,4468.269078
-2811.630627,1504,4495.872139
-786.857981,2698,4566.167005
-3689.051885,2540,4621.592194
-4996.85378,3971,4712.0717
-4724.7283,3760,4801.173905
-470.513162,2175,4850.680451
-479.784054,2251,4901.772115
-1528.366853,1036,4920.978748
-2021.764572,3285,4998.98907
-2367.390725,1130,5031.272712
-837.634565,2315,5084.174854
-1212.27676,1545,5111.883875
-1820.153014,2752,5182.071016
-2768.6342,985,5200.861897
-250.987034,1936,5245.489392
-616.773276,2249,5296.686786
-5917.993175,3455,5379.961437
-1571.631756,1229,5412.988985
-3299.938005,1007,5431.869675
-392.19597,1215,5464.181717
-880.115206,2683,5524.268214
-8096.439643,4352,5622.584537
-6609.729143,7844,5795.77934
-3703.699446,1600,5835.076798
-3937.441657,3045,5898.77894
-6870.137182,3770,5983.876811
35.361502,3689,6069.271832
-612.002057,1199,6091.277459
-944.370573,1736,6133.969608
-1950.983402,2814,6203.287537
-978.256876,2168,6253.580274
-9058.527113,6264,6394.16909
