#{"t_start": 1682314546.8199399, "env_id": "TruckTrailer-v1"}
r,l,t
-1016.546827,1664,26.964736
-1013.689829,1529,41.780931
-968.288029,2955,70.507571
-1004.415475,2198,90.494488
-1000.0,1,90.762486
-1015.050852,1486,101.301115
-1014.226348,1441,116.567521
-1006.108897,2284,136.482591
-1045.21032,1561,151.590274
-1006.837439,2239,171.486154
-1017.441655,2320,191.667722
-997.904355,2147,211.253928
-1000.0,1,211.465417
-999.093451,1769,228.647616
-1000.0,1,228.867985
-1001.856502,1911,246.470228
-1007.234261,1688,263.202421
-1000.0,1,263.458852
-1000.0,1,263.672424
-1000.0,1,263.893201
-1017.888192,2185,283.388521
-1022.992568,1722,299.471394
-1011.674993,1904,316.403749
-1009.539506,2016,334.749485
-1000.0,1,334.962205
-998.295938,2135,353.970667
-1003.698628,2477,375.280015
-1009.0023,2413,396.564895
-1014.971913,2036,414.851364
-1000.767788,2849,438.972946
-1001.777427,2533,465.563658
-999.568482,1941,483.78441
-1000.0,1,484.001982
-1027.173588,1945,502.374597
-1008.667884,2277,522.571967
-1004.345708,2396,543.348643
-1006.619858,1727,559.764066
-1000.0,1,559.973862
-1000.0,1,560.185623
-1036.738083,2358,580.704392
-1000.0,1,580.961463
-1000.0,1,581.175266
-1000.0,1,581.386496
-1000.0,1,581.594735
-1000.0,1,581.798321
-1000.0,1,582.048654
-1025.065046,2468,603.258829
-1062.035504,1713,620.465509
-962.059576,2424,641.559903
-1013.390789,1872,658.400092
-1000.0,1,658.660279
-1014.156373,1687,674.677644
-1005.828862,2433,695.676177
-1006.171584,1845,713.053654
-1000.0,1,713.272089
-962.388618,2863,737.198459
-1006.992317,3434,769.178512
-1000.0,1,769.389692
-1001.597099,2794,792.871382
-1000.0,1,793.08802
-1175.055266,2529,818.496947
-1000.0,1,818.7091
-1183.327376,1271,827.802983
-1000.0,1,828.072249
-962.580471,2519,849.8039
-1025.198815,2113,868.551124
-1168.592734,1082,880.486269
-1000.0,1,880.696139
-1000.0,1,880.950332
-1032.613321,1430,895.180512
-1000.39629,1527,905.948903
-1027.426896,1330,919.194779
-1000.0,1,919.446891
-1000.0,1,919.663584
-981.728572,3055,948.884234
-1000.0,1,949.09672
-964.389124,1955,967.07852
-1004.683692,2228,986.902715
-962.542408,2848,1010.55975
