#{"t_start": 1682414008.1200879, "env_id": "TruckTrailer-v1"}
r,l,t
-350.636438,3112,41.359324
-242.439646,1346,55.248011
-538.181341,1466,65.664289
-365.65925,1972,83.870484
224.140105,2536,110.074053
111.669106,2425,131.477078
128.881657,3701,165.887047
-272.453952,2749,189.272313
-96.855898,2089,208.250242
-374.162581,1515,222.96262
-329.889571,1657,234.488033
-500.4968,2137,257.681581
-2266.313388,1461,268.001303
199.992258,2394,288.789012
93.383886,2185,308.272345
236.324149,4131,349.597331
-295.213263,1261,358.58897
-135.697646,2446,380.302391
-19343.485853,1455,395.092747
-7058.774773,951,401.877237
92.706125,2854,429.892151
259.946191,3260,456.497469
247.184607,4081,493.354463
-77661.132151,1307,506.95676
-221.577826,2978,536.559045
-102802.986411,1054,544.194952
-243.960146,3010,573.766743
-56777.435831,1232,582.467581
329.342015,3918,617.977129
-248.980586,2968,647.380797
79.255768,4140,685.054932
-147.116657,3562,714.585992
-269.959507,2513,736.784757
-366.522135,2734,764.168832
1386.498438,6467,820.169557
-37217.300761,994,826.775722
-340.429118,2489,852.967927
-78.22111,2979,877.972662
-11959.8416,1444,892.479861
-33.356469,2657,915.684644
-416.961815,2026,934.682346
-808.852753,1480,949.392401
-667.075022,1286,958.68062
-80180.173068,1016,970.367591
-17737.323413,963,977.285255
-619.138058,2014,995.993621
-736.026567,1234,1009.362069
-465.237949,2302,1029.775687
-201.13721,2934,1058.949944
-467.023964,2724,1082.573484
-414.316859,2852,1106.800247
-5857.253313,1901,1124.478554
-12982.317167,19276,1294.303192
-795.775642,1720,1306.065192
-269.71519,2841,1333.74655
-111.124697,2748,1357.06491
-236.723352,3431,1389.48222
-463.175095,2081,1408.484583
-499.033779,2121,1427.272325
14.667508,16896,1571.557827
5.925135,3332,1603.297354
-333.703305,2790,1627.208441
-72.458428,2331,1647.755827
-15354.752188,1203,1660.704639
302.010875,4687,1701.681712
-14389.917311,1712,1718.274047
-4220.218459,1879,1736.088436
-25985.102508,944,1742.856043
-332.928923,3549,1773.50146
-1450.300691,2480,1795.173385
144.938032,5797,1847.793409
-1492.539874,2761,1875.698656
-117.187962,6725,1933.683006
-368.798646,9102,2012.50165
-10562.248011,1861,2029.967426
-325.924018,2223,2049.979514
-109.250245,25000,2267.764567
-49.291244,25000,2487.079908
-707.528194,2584,2509.467147
-369.786764,3318,2541.161248
-137.988158,25000,2757.067941
-8938.955909,13063,2869.480881
-1088.388874,3554,2902.789801
-801.902702,2261,2922.893027
-667.09258,1263,2936.060789
-6583.811109,2461,2957.382237
-371.430797,2769,2980.460313
-352.958971,2565,3002.880977
269.137992,3339,3034.174227
-284.291849,2819,3057.904056
-547.276087,2999,3087.293525
155.88918,3201,3113.767459
-3893.381159,2281,3138.379669
-7464.315576,1568,3149.987909
529.390661,4149,3187.155139
-563.963093,2129,3206.374155
-11672.033448,2287,3231.17061
-582.456369,1657,3243.003855
-18398.843828,1599,3258.802167
-315.444705,2752,3282.280876
