#{"t_start": 1681127315.8222258, "env_id": "TruckTrailer-v1"}
r,l,t
-453309.268379,5280,74.770421
-1932.508795,751,82.952302
-1586.99717,395,89.462445
-3294.065947,2715,110.476166
-605791.517183,7194,165.76115
-489913.231307,5317,210.490216
-1065399.476837,10771,293.393632
-566437.624436,6434,372.976948
-217656.549711,2962,399.250895
-493811.008254,5936,469.869947
-647027.355538,7737,572.77384
-994560.872335,10080,699.7572
-156141.454203,5630,809.953314
-871.583357,425,818.164711
-378701.552507,5056,936.555238
-212527.841401,3708,1020.162763
-507900.471255,6053,1151.248527
-154093.754596,2716,1207.864329
-589.197831,2384,1257.146826
-188748.964913,4164,1346.144337
-433834.016175,5463,1464.550668
-1216.929734,3281,1541.554065
-88167.656492,2606,1596.867128
-526013.794123,6195,1729.147654
-82671.577201,4383,1822.76604
-927977.271146,10006,2031.37204
-990696.00758,10432,2251.969371
-1369323.113992,13761,2553.254058
-1308021.321106,13257,2835.961177
-815695.773781,8798,3024.461727
-658027.838257,7980,3197.669187
-626999.266181,7300,3361.769304
-918.003888,4150,3453.148912
-378493.798306,4940,3557.050209
-179701.735361,4244,3650.644504
-563341.243071,6597,3802.356776
-361464.27282,4809,3903.058211
-1484909.306954,13246,4185.759579
-116834.44799,3225,4265.662949
-400756.736861,4949,4370.75696
-460646.597524,5838,4500.254115
-1934.387561,386,4507.754691
-408821.277431,5229,4631.358519
-1038979.283748,10445,4857.550192
-1198336.937173,11754,5115.569927
-474578.846995,6172,5250.864502
-121909.315231,2236,5299.463537
-107337.107743,6212,5433.372849
-529626.315772,6846,5577.666132
-471060.381682,5856,5704.150499
-676277.160043,7739,5873.862548
-1254.85765,3188,5951.146437
-761504.398322,8543,6135.153859
-1210967.215919,12367,6399.450017
-658558.504881,7525,6559.872617
-429256.322883,5137,6673.84593
-1124577.792727,11333,6914.252355
-260003.971824,4022,7002.962779
-747431.454619,8365,7186.34508
-355007.147849,4557,7291.574746
-602463.416737,7109,7443.56907
-2071804.041621,18153,7835.444937
-980178.23073,10528,8058.749025
-374261.621528,5051,8175.366443
-358281.212598,4231,8265.956066
-1385.634495,2091,8312.965735
-442100.07883,5661,8440.345144
-1447633.104466,13928,8735.249598
-953.113563,610,8756.358734
-1393.578759,467,8764.663943
-1360150.131848,13487,9051.965971
-58789.630541,1163,9081.762686
-1782.051495,368,9089.060887
-757326.98611,8375,9272.95412
-1956.152254,860,9298.964338
-1126.172878,1876,9344.159698
-1671.940823,839,9359.258713
-1215308.706802,12666,9627.673976
-683391.811839,7846,9800.162212
-893865.036789,9582,10018.546212
-1012237.017396,10739,10248.04705
-599143.372505,7653,10414.454362
-498831.947652,6071,10547.969017
-40703.350101,570,10558.163582
-1380.296482,707,10570.860122
-494734.386092,6292,10709.858532
-1249.001654,572,10731.368083
-2913.946011,503,10740.078975
-278459.91353,4516,10838.166148
-41739.855034,414,10846.063955
-1657.154476,470,10855.461434
-1352.133868,337,10871.666012
-32262.92823,320,10877.545218
-1820.849295,434,10885.356622
-1567.088867,344,10892.354226
-45207.026779,449,10900.357473
-541.995045,503,10919.658671
-1230.318632,506,10928.771356
-1652.893819,391,10937.052682
-51624.691696,513,10946.05126
-68874.752556,686,10967.672255
-50154.529603,537,10977.250116
-177255.500115,1879,11018.360185
-143494.965538,9476,11215.449788
-48094.063156,479,11234.160549
-530298.505125,6467,11374.571497
-477214.002086,6025,11506.351529
-465101.289958,6184,11643.444788
-739856.505495,8266,11821.762508
-51603.961667,2007,11865.869865
-1049.738328,624,11876.273397
-467148.765226,5794,12003.659734
-521626.420842,5951,12131.044695
-362633.951623,4297,12224.145417
-576785.607715,7574,12386.974453
-632388.8877,6457,12528.862822
-726200.877796,8038,12700.164111
-65780.291832,655,12711.57471
-1536145.358659,14063,13006.96422
-12449.704551,558,13017.062109
-664788.907456,7698,13185.751799
-1434180.825068,13114,13462.869981
-1427.061044,554,13482.167862
-1123902.5214,11821,13722.945752
-1379.915041,439,13741.962856
-952.852071,783,13755.471871
-1704.941577,486,13763.466818
-639597.729419,7271,13923.156582
-987.738153,382,13930.05905
-241351.388037,3272,14004.267597
-1623.71808,510,14014.270743
-626.577254,420,14022.045521
-131506.835294,2934,14083.46243
-55394.487556,552,14103.761461
-1189.288997,465,14112.360968
-42124.290314,418,14120.068928
-1142.937202,556,14130.161022
-1532.82215,390,14146.645217
-46397.460312,460,14155.260203
-1607.074615,510,14164.265893
-42981.899372,429,14171.774469
-43404.234474,432,14188.867859
-440174.471428,5934,14306.870352
-274731.081323,6769,14455.355625
-1345.732674,415,14462.96582
-134682.49044,1343,14495.76349
-57529.838028,572,14505.868255
-1832.566913,336,14511.567461
-678.016396,488,14520.247595
-48170.769234,478,14539.67174
-947.301756,344,14545.664791
-1825.159009,563,14555.067415
-758.877745,418,14562.149517
-768.269142,417,14569.665662
-605.431064,479,14589.447654
-1124.796035,471,14597.54956
-47615.57354,473,14606.944193
-43717.912651,434,14614.661983
-2618.462547,419,14623.047735
-1543.958197,478,14641.559444
-482.509736,418,14648.851667
-1570.629549,436,14656.564975
-686.775789,387,14662.874411
-1696.489423,358,14680.254472
-1615.166335,435,14688.163025
-552.715062,311,14693.86066
-86207.7799,859,14708.764923
-25294.073128,534,14729.064277
-1417.386619,383,14735.670476
-51930.289879,516,14744.171289
-113844.49276,1135,14773.952561
-17964.63103,668,14785.257507
-85791.705414,855,14799.650948
-47774.487572,475,14818.652124
-123624.794449,1233,14840.450862
-1307.257629,451,14848.145368
-1719.260401,294,14853.547351
-670.542917,520,14873.646899
-1280.540513,402,14880.859818
-57311.697655,570,14891.258504
-1164.637274,421,14898.769365
-1014.608779,409,14917.250363
-1541.794194,398,14925.054087
-25456.027771,252,14929.667995
-646.75794,464,14938.264835
-36655.157066,364,14945.062898
-37661.195885,375,14963.255256
-902948.540007,9557,15160.365326
-43688.354927,434,15168.161233
-78614.047981,783,15190.144725
-597.311436,359,15197.469818
-1559.589812,387,15205.071674
-46938.521402,490,15213.544414
-44950.866791,446,15231.06497
-1375.0525,361,15237.275602
-617.173052,352,15244.067298
-46084.540924,458,15252.46765
-41125.619792,428,15259.844095
-1144.405009,575,15278.847932
-1766.941756,364,15285.351646
-18550.21579,641,15297.752594
-55612.083534,553,15306.670235
-1076.72701,471,15324.169049
-43354.575462,431,15331.374438
-47801.844154,474,15340.164149
-1607.404388,482,15349.159855
-467.600143,490,15370.559657
-1742.155326,340,15377.055542
-32538.568838,805,15391.568074
-39527.05217,392,15398.864296
-1576.535411,434,15416.065507
-22577.452298,726,15428.165885
-1093.999973,380,15435.669559
-37719.987694,375,15443.07035
-768.491752,400,15449.855213
-28416.177434,445,15467.059023
-1664.624866,391,15473.950101
-852.594611,428,15482.169307
-1700.393052,350,15488.853174
-1226.533473,369,15494.96295
-1177.271974,413,15511.951883
-143708.058648,4858,15617.452451
-41962.44368,417,15626.569534
-33332.080696,332,15633.3678
-57664.028564,574,15655.252194
-292743.564428,5113,15757.751189
-1041.763364,358,15764.465356
-1631.157897,350,15771.649841
-52872.46505,525,15793.165009
-1238.248739,301,15798.760789
-1082.342378,353,15805.36115
-1192.946158,599,15816.254986
-2071.999783,351,15832.953066
-1196.173202,447,15840.952295
-37364.396431,371,15848.160124
-1792.684843,570,15858.660911
-41349.17131,410,15866.14894
-1204.786424,377,15882.162802
-48243.612691,687,15894.055717
-1018.458373,441,15902.17048
-43489.621735,433,15910.763736
-160484.529255,4771,16020.047884
-715.764686,400,16026.470721
-1275.427884,446,16034.469688
-2279.59634,322,16040.356449
-81452.206306,811,16066.654692
-1408.487125,487,16074.866601
-49778.897163,494,16083.474217
-38666.923355,384,16090.661008
-483.150293,366,16097.269531
-46928.44821,1066,16125.663487
-39507.288895,392,16132.26327
-1277.878951,383,16138.866206
-1529.209116,461,16159.052947
-89851.25119,894,16174.34596
-34003.966064,337,16180.266401
-1079.593415,402,16187.4484
-1305.557497,392,16206.263477
-42184.314598,419,16213.272443
-902.971998,431,16220.65668
-44870.565155,445,16227.952161
-598.75738,447,16235.56386
-631.083352,327,16253.458811
-844.388852,323,16259.665106
-1061.380775,386,16266.567458
-35316.722839,351,16273.451521
-1742.151512,445,16281.662187
-2012.47631,355,16299.57428
-44833.085442,446,16306.76271
-39398.544907,391,16313.364574
-593228.474412,7938,16484.358671
-47558.785316,473,16493.564416
-795.879612,433,16501.644896
-1308.856273,437,16509.37133
-1596.414952,377,16525.758892
-1707.544795,506,16535.265523
-929.997819,391,16542.548347
-1930.097535,365,16549.067768
-1447.393633,492,16569.046657
-1656.277836,262,16573.568085
-38632.491989,383,16581.154882
-54241.793442,539,16591.76247
-1350.387967,482,16600.859637
-1369.450512,374,16607.969373
-42833.866104,426,16627.852504
-856.884494,402,16635.748548
-41334.884102,411,16643.365408
-60851.936798,606,16654.169221
-831.3338,419,16671.750672
-902.050499,384,16679.174523
-1581.426307,310,16684.266851
-38399.351952,382,16690.761279
-62551.738548,623,16701.259591
-32927.032715,326,16717.262574
-1097.111476,430,16726.163986
-903.364421,377,16733.356915
-45777.555244,455,16741.174515
-1381.820868,516,16749.572591
-1647.424974,381,16768.056398
-738.516344,418,16776.871144
-1752.057878,525,16785.659035
-34149.008041,339,16791.566877
-34076.115593,339,16797.554005
-40181.60347,399,16813.470958
-38752.03112,385,16820.645026
-38751.566109,386,16827.977645
-1823.734496,355,16833.963596
-25117.372923,755,16857.152496
-1530.527653,327,16863.368474
-2028.944655,365,16870.661043
-1064.204053,392,16878.157355
-1366.189116,430,16885.859931
-45297.20768,451,16903.359725
-69772.189026,695,16915.546672
-1831.794654,343,16921.952411
-125644.459895,6454,17051.656316
-40153.863724,400,17058.671339
-49419.461136,491,17078.244307
-620.782716,397,17085.364383
-1573.140035,454,17093.559415
-36067.396904,358,17100.244238
-786.08395,379,17106.856782
-1614.683058,434,17125.465374
-42039.245071,418,17133.052007
-633.180307,404,17140.451095
-1857.318418,494,17148.84413
-2541.295653,641,17170.667466
-822.378108,365,17177.049519
-44478.914657,795,17190.567757
-57814.367073,575,17200.448881
-35947.247178,638,17222.368201
-26276.13881,706,17234.068651
-631690.570132,7493,17394.162163
-54393.303337,542,17404.346943
-60786.588898,605,17415.170278
-2027.764545,510,17433.263989
-146309.84392,4584,17532.666114
-1450.513434,402,17540.170633
-1406.366067,341,17546.848958
-2563.902015,752,17560.661081
-1002.467637,482,17580.250256
-1859.575067,556,17590.046615
-1559.156214,545,17599.869541
-623.654258,623,17620.461704
-1475.103937,459,17628.457301
