#{"t_start": 1681905115.489467, "env_id": "TruckTrailer-v1"}
r,l,t
616.816034,4619,135.88271
-382.483094,1444,161.400207
-541.179338,1290,194.777265
-64.79206,2018,239.686246
-575.757332,1185,270.805996
-409.937022,1572,297.490026
-151.431065,2521,363.791589
-431.727742,2913,423.685535
-337.381836,2810,482.691665
-336.479397,1544,520.791739
-405.857712,3418,601.099154
-314.678305,2099,648.706546
-199.877769,2847,707.704763
-652.329739,3915,795.300726
-395.99939,1698,835.093134
-97.964122,2068,879.494215
-80.269111,1269,912.501065
-323.428697,1800,954.585936
-249.014865,2834,1016.992058
-428.152406,2619,1074.203003
-61.216145,2043,1120.702491
-82.136087,1640,1159.991417
-123.704063,1958,1205.296554
-166.162262,2255,1254.277601
-236.300856,2258,1303.078816
-271.791951,2809,1373.197082
-204.746769,3726,1446.801762
-196.121486,1892,1490.406596
-476.160948,958,1518.399835
-387.325187,1491,1544.087598
-536.776218,984,1572.986659
-485.813775,757,1586.089356
-740.303976,861,1612.494852
-156.469655,2066,1658.990788
-159.295683,1990,1704.293099
-131.091122,1537,1731.079422
-517.639717,1188,1761.681274
-101.714118,1338,1796.185966
-71.737194,2056,1842.87936
-496.207865,943,1859.487363
-678.022431,896,1885.980588
-142.531103,1609,1913.696272
-168.597718,1921,1957.687507
-439.750328,1361,1990.987241
-122.930123,1282,2024.389809
-388.562249,949,2041.195352
-68.254226,1416,2076.688718
-89.09685,1807,2118.900331
-506.399314,979,2136.188591
-39.317156,1580,2173.898451
-164.556306,1758,2214.488345
-175.222042,1516,2252.297347
-76.64341,1984,2286.797763
572.33025,1037,2314.289919
-210.439484,1733,2354.697288
-315.268802,2196,2402.985005
-346.903126,747,2416.694895
-59.746802,1675,2455.581822
-604.994872,1020,2483.587812
-68.746604,1739,2513.589829
-102.895727,2229,2573.001103
-167.848268,2068,2619.792444
-120.178151,1304,2642.800359
-60.128141,1842,2684.807514
-356.082221,925,2710.805718
884.648182,2154,2758.09305
-141.732226,1287,2781.198842
-103.780609,2000,2824.691382
-159.6806,1577,2862.982178
-391.930847,919,2878.878775
799.020472,3524,2960.593437
866.9379,1837,3002.989307
-187.315615,1395,3037.692552
-575.233735,885,3053.30789
607.336404,6070,3185.702924
-141.820944,1964,3229.907616
648.858317,3106,3306.205928
0.0,1,3306.703252
-279.461572,1997,3352.190402
-215.191205,3507,3423.40311
964.117169,2022,3468.887499
-134.464909,1299,3503.008118
0.0,1,3503.581808
0.0,1,3504.007498
-288.336907,2212,3553.804359
-60.14723,1551,3592.405031
-201.714741,2329,3642.985876
-350.472742,4699,3745.005547
-106.712977,1038,3774.795792
-222.903495,2615,3830.383516
-209.82132,2125,3878.099953
-211.956922,2193,3926.397605
-108.713718,1119,3957.287413
-134.274629,1634,3984.994851
-604.669754,908,4012.199957
2710.078393,6025,4143.591261
-411.936658,2621,4199.299596
-49.264152,1290,4232.294084
-85.831971,1325,4254.197928
-60.995591,1438,4288.802501
-150.071404,1672,4327.879812
-412.306961,4603,4427.089133
-306.786484,2383,4477.683983
-287.583455,2969,4550.206248
-436.07,2652,4605.707249
-351.794081,2023,4650.802544
-257.406578,2705,4707.293652
-403.443318,5082,4823.198854
-202.537119,1803,4864.608238
-369.840249,786,4878.378668
-142.194177,1588,4916.277263
-276.07443,1915,4959.285857
-129.149864,1355,4982.898222
0.0,1,4983.5011
8647.132919,12206,5246.695023
-391.082783,2718,5315.580342
0.0,1,5316.078268
-450.194129,9690,5519.005401
0.0,1,5519.505194
0.0,1,5519.992932
-644.078821,887,5547.281292
-67.497284,883,5562.606632
0.0,1,5563.09449
941.296259,1595,5601.708129
-236.694409,3325,5679.684315
-191.568145,1458,5704.096618
-676.562452,886,5731.186613
-456.321397,2559,5785.589375
-287.423051,768,5799.193049
-88.380179,1458,5835.790199
-755.376851,836,5861.403051
603.271501,5312,5970.803824
928.552574,2383,6022.180776
-286.938339,2067,6068.803257
-64.923479,2004,6115.005168
-97.83358,1197,6147.791551
-289.856032,2002,6193.695586
0.0,1,6194.193354
-84.912661,1420,6229.395832
-152.20888,1332,6251.006415
-155.176602,1782,6293.589229
-173.696059,1857,6336.800288
-217.11488,1515,6374.189578
-154.634812,1290,6396.595836
-220.275085,1559,6434.9928
-154.262677,2026,6479.989464
-141.189644,1211,6511.795352
-54.129918,1468,6536.70523
0.0,1,6537.278646
-414.474943,915,6563.703962
-142.766806,1509,6601.291672
-148.705142,1254,6622.778105
-366.727506,1155,6654.19585
-167.569925,2282,6703.400838
-44.236698,1376,6738.408033
-255.133013,1865,6781.49795
-414.833674,1411,6804.992628
-164.974372,977,6834.078731
-50.980619,1365,6857.602032
-253.890159,1936,6901.293545
-34.938078,1427,6938.004357
0.0,1,6938.499667
-276.845987,1900,6981.097325
-300.351121,977,6998.091904
918.928868,1656,7037.391327
777.908867,1159,7069.099071
-144.03168,1200,7090.193116
-181.291042,1404,7125.481282
-143.256316,1441,7161.798796
-116.505346,1241,7182.793647
0.0,1,7183.300181
-623.811975,725,7206.408079
776.089792,4890,7308.898638
-154.373515,1129,7337.896387
-300.252992,2619,7393.497697
-146.905052,1492,7428.485721
-216.744511,2458,7482.780207
-372.949727,2174,7530.793567
-117.806146,1269,7562.096427
-91.603075,1312,7585.908275
-136.694902,1801,7626.985233
-282.843949,1045,7655.8894
-326.90304,831,7670.99154
-501.19178,852,7685.394968
-172.049377,2239,7733.790722
-129.075563,1127,7764.479331
-118.24488,1411,7799.780124
-80.241724,1106,7819.897381
-193.565349,1980,7864.392847
0.0,1,7864.883389
-263.863294,1776,7906.696638
-57.69118,1180,7936.287153
-317.720092,819,7951.582346
-354.338223,2244,7999.676885
-288.55391,1262,8030.690547
-237.09243,1584,8068.785973
-268.088811,1628,8097.306081
-125.942872,1157,8128.282341
-303.770427,667,8140.606459
-347.829104,1669,8179.685521
-223.806665,1456,8214.503182
-223.357712,1452,8240.595682
-268.523556,966,8268.283885
-50.437624,1064,8288.398633
-294.477379,783,8313.206445
-219.103413,1420,8347.891333
-389.094007,1849,8380.586672
-85.659766,1148,8412.805467
-138.835868,1325,8446.183443
-351.280074,2307,8497.583714
-135.364231,1185,8518.281964
-134.372013,1099,8548.301736
-197.045162,1435,8583.299995
-96.510404,1067,8603.193641
-102.294676,1069,8631.892819
-258.638277,685,8644.600082
-235.450665,1474,8680.479543
-124.225152,1225,8701.803946
-138.431795,1201,8733.784816
-120.72156,1187,8754.581499
-266.065122,674,8777.685567
-109.569961,1149,8798.393103
-688.215265,696,8822.29836
-190.227095,1006,8839.295624
-298.805082,2345,8890.489572
-192.799358,1466,8927.502878
-194.232208,1437,8963.204206
682.870463,2739,9021.001191
-193.20261,1751,9062.411789
-343.692614,3476,9142.778037
-92.363849,1296,9166.299087
-25.067961,991,9194.39243
-233.822958,1486,9220.211276
-39.714104,1057,9249.801225
-188.612362,1394,9284.892207
-40.141049,1150,9304.899439
-225.315198,1565,9342.896858
-217.110577,1482,9379.303246
-143.41324,1083,9398.292536
-170.212501,1669,9438.288532
-345.604202,1827,9480.877455
-265.135079,2070,9527.793164
-241.695121,1641,9566.286734
-204.004921,1397,9590.401973
-134.207903,1099,9620.289606
-426.882684,911,9636.09757
-164.678944,1299,9669.297544
-247.730302,1575,9706.785699
-117.00963,1128,9726.895778
-160.571876,1179,9758.19953
-134.421737,1051,9775.50252
-273.004101,631,9797.280285
-370.380166,1111,9817.703981
-213.247169,1548,9855.890339
-52.967717,1031,9883.891615
-336.431375,1749,9915.200302
-100.006221,1209,9947.489279
