#{"t_start": 1681905132.0733614, "env_id": "TruckTrailer-v1"}
r,l,t
9927.298902,13005,310.018983
-34.070617,1954,354.706384
-34.332864,2113,402.822555
-22.040725,1860,445.923406
-12.526394,2423,498.804005
-40.084274,2374,550.606493
-65.521108,2613,606.506438
-22.315591,3560,689.205135
-59.43262,3085,764.010478
-36.204216,2554,817.805247
-33.39123,2243,867.217252
-47.39567,3540,948.520613
-77.735371,3196,1012.713669
-258.421211,1872,1055.609623
-4.103427,1424,1091.719366
-37.381743,2126,1139.404546
-142.86049,3542,1220.515451
-63.975919,2574,1275.416196
-32.705244,3667,1359.305702
-96.412706,3839,1446.623286
-39.077358,3564,1519.311587
-53.421541,2844,1590.419061
-66.181612,2864,1648.921724
-69.29667,3069,1721.808935
-333.18997,1933,1766.209988
-53.13459,4288,1859.016925
-192.558714,1478,1885.810182
-57.194879,2928,1958.406114
-54.821065,2510,2011.308375
-16.629746,2008,2056.305661
-90.735549,3846,2142.811272
-92.862088,8097,2321.307453
-265.310901,15279,2649.712629
-1630.515147,25000,3192.89604
-1037.394309,25000,3757.904487
-1409.189587,25000,4309.513479
-1641.956278,25000,4852.997968
-1125.115052,25000,5405.61621
-1431.631286,25000,5962.623151
-1175.83647,25000,6537.004599
-1080.900614,25000,7106.612598
-1159.999395,25000,7669.226903
-1205.420133,25000,8237.304106
-997.529443,25000,8806.800112
-1233.728143,25000,9373.116728
-997.408384,25000,9939.50841
-1353.880639,25000,10497.811687
-1731.09527,25000,11061.018682
-1474.190757,25000,11634.912565
-1748.39816,25000,12198.727463
-1126.373264,25000,12764.699777
-1079.27463,25000,13331.119582
-1036.217823,25000,13890.597249
-1023.377141,25000,14461.296794
-1596.547338,25000,15027.206746
-999.251769,25000,15591.009794
-1004.927809,25000,16157.417729
-1340.995607,25000,16724.40876
-1441.542645,25000,17296.508912
-1067.069424,25000,17857.610227
-997.002601,25000,18423.516865
-1051.188208,25000,18984.397429
-1014.773571,25000,19549.412723
-1042.398213,25000,20125.307434
-1030.655826,25000,20693.72315
-999.806676,25000,21267.12372
-1474.402227,25000,21835.913383
-1044.247782,25000,22397.820933
-1023.668119,25000,22974.609807
-1047.618436,25000,23541.423085
-1205.834503,25000,24108.007179
-997.795892,25000,24676.800932
-1678.113839,25000,25258.416862
-1034.965085,25000,25822.005437
-1011.589426,25000,26386.617634
-1044.115041,25000,26953.109745
-1207.819548,25000,27516.612608
-1004.012293,25000,28091.20987
-1675.664099,25000,28653.420862
-1073.852982,25000,29215.916089
-1033.3364,25000,29782.500562
-1018.534022,25000,30351.804641
-1637.065701,25000,30927.413357
-1005.828081,25000,31493.422207
-1015.657399,25000,32057.712741
-1282.49004,25000,32625.803732
-1169.036001,25000,33192.117348
-999.392979,25000,33766.998986
-1030.424464,25000,34329.196281
-1365.198527,25000,34892.01607
-1004.889301,25000,35457.60509
-1193.150199,25000,36025.906416
-1213.079642,25000,36595.817444
-2094.55746,25000,37161.005057
-1014.366551,25000,37725.920326
-1262.661565,25000,38296.119047
-1723.322382,25000,38864.003597
-1001.281714,25000,39446.420056
-1484.648671,25000,40012.106815
-1033.086484,25000,40581.303617
-1290.672988,25000,41145.616744
-1000.79428,25000,41726.106795
-1001.726671,25000,42292.91755
-1532.186141,25000,42860.602949
-1257.962885,25000,43421.603169
-1015.990772,25000,43989.120437
-1330.944998,25000,44564.209176
-1513.10256,25000,45130.306311
-1014.991333,25000,45699.615438
-1422.465122,25000,46263.005435
-1137.337708,25000,46830.594568
-1969.484091,25000,47407.819596
-1130.769346,25000,47973.309566
-1000.668417,25000,48533.304055
-1004.780824,25000,49094.514598
-1293.960216,25000,49655.903643
-1082.653611,25000,50224.627089
-1333.702556,25000,50778.700329
-1281.829617,25000,51335.920055
-1081.780341,25000,51896.412269
-1023.85046,25000,52454.215377
-1048.698445,25000,53026.309054
-1207.559112,25000,53587.824011
-1231.973759,25000,54139.514159
-1757.327446,25000,54701.018016
-1101.669976,25000,55272.614082
-1040.03704,25000,55839.418977
-1003.221285,25000,56415.108294
-1056.749916,25000,56972.806657
