#{"t_start": 1681803228.877428, "env_id": "TruckTrailer-v1"}
r,l,t
-1400.910826,1331,52.991971
-828.66358,1888,96.904511
-6317.218161,16399,454.120312
-1312.091873,2728,513.899088
-3679.404308,1183,546.294395
-2362.867101,2145,594.216228
-3876.964516,3286,671.59724
-1599.430125,2708,729.000106
-7801.396376,3414,810.713146
-1557.776877,1134,830.31141
0.0,1,830.819547
-2405.929041,2496,884.506054
-2618.988292,1080,914.997546
-2130.695704,2173,964.114745
-414.210038,1683,1005.210851
-4769.484424,3786,1089.897518
-8013.197442,4058,1179.289405
-3410.888431,2435,1232.302834
-350.597255,2066,1278.698794
-3789.227313,2757,1336.51596
-3195.049312,1096,1367.689477
-4207.958382,3267,1434.089924
-1185.210479,2338,1484.701276
-1415.736396,1931,1528.791169
-2021.48246,2197,1577.202918
-2953.536402,2436,1641.311075
-5553.611475,8026,1817.709752
-718.871386,1949,1862.397223
-3902.011712,2688,1919.59234
0.0,1,1920.094207
-3225.534843,1096,1938.89959
-2897.860234,2357,2001.989539
-7615.463589,10949,2241.907041
-2411.431351,1347,2276.203321
-2172.278655,1026,2294.500018
-755.990967,1649,2336.605079
-1140.361874,1759,2378.59184
-1404.716291,2236,2427.717421
-763.072535,1760,2469.89686
-2181.262782,2637,2526.706631
-2509.684354,3092,2592.990447
-2864.37393,2287,2655.402863
-5550.751765,3246,2723.212816
-4479.723155,1336,2759.108736
-3041.554637,3308,2826.291756
-1268.539907,1927,2871.215652
-2346.97945,2328,2923.608491
-3480.314812,1165,2955.514229
0.0,1,2956.009318
-3389.521683,2771,3014.316205
0.0,1,3014.812642
-2017.468049,2289,3078.88958
-3076.385815,2173,3127.711211
-1878.054089,1200,3148.508104
-3532.099079,1757,3191.215882
-2397.326492,2344,3243.509789
-2695.994151,964,3272.998492
-481.1888,1677,3302.207733
-416.176536,1554,3338.505875
-2342.118911,2044,3384.596699
-2227.566456,2522,3440.123813
-2830.590698,2167,3499.204466
-1374.135151,1786,3529.914489
-3825.273725,2666,3596.402184
-3791.440538,6507,3741.410178
-1301.607906,1553,3780.415014
-1864.370087,1483,3807.411141
-6582.714133,8976,4011.901347
-514.812089,1567,4050.292524
-2757.743813,3133,4115.607932
-4392.618328,9410,4330.495718
-4788.588237,6039,4463.307261
-2372.364368,1864,4496.310347
-2581.391069,1052,4527.192107
-697.300072,1572,4566.089756
-906.899963,1694,4608.19805
-2510.042573,2503,4664.189333
-6178.663118,3023,4727.798657
-1802.091451,1950,4773.304644
-390.181024,1650,4814.71442
-1599.996886,1681,4855.315426
-1841.697908,2400,4909.10234
-2396.733754,2292,4960.411416
-3380.185314,2579,5017.205594
-2842.937542,1181,5049.210452
-3167.622183,2923,5110.606972
-5123.558249,3140,5188.694911
-4088.046139,3212,5267.906763
0.0,1,5268.409601
-3211.39272,2573,5323.813199
-3714.927538,1260,5346.715333
-1583.165721,2141,5395.299989
-3656.44004,3224,5471.205257
-1362.182023,1543,5508.792616
-7564.204562,3588,5593.209982
-7571.848767,3563,5665.501839
-14068.613169,18291,6084.018081
-2872.578829,2464,6137.217991
-914.097548,1942,6183.091044
-9091.606806,15411,6525.519703
-3625.060517,2595,6583.289087
-1003.633786,1455,6619.292088
-3931.244586,4236,6712.90789
-2620.60315,3357,6793.805234
0.0,1,6794.314936
-1281.747806,1553,6821.913767
-3445.714251,2521,6887.093342
-2165.281108,1997,6933.004695
-1788.408937,1023,6952.600114
-1230.081947,1779,6993.919914
-6088.952097,3917,7080.811494
-2836.169234,2516,7137.119145
-2147.311692,2052,7184.009404
-756.145746,2070,7230.007402
-3089.332316,1338,7263.095381
-1794.633542,2249,7312.192749
-1906.686489,2105,7359.195288
-1470.548619,2414,7411.797797
-3810.63795,2934,7472.611347
-565.320789,2031,7519.897468
-1509.52488,1780,7562.119791
-3670.474334,3059,7636.513398
-3809.094388,3036,7701.701632
-3578.894014,1302,7736.600421
-3357.496983,1013,7754.889207
-2776.880082,2356,7817.906029
-2908.523787,2748,7876.91402
-733.275292,2033,7925.494081
-1049.166498,2194,7976.404088
-1515.769878,2632,8032.204025
