#{"t_start": 1681127975.3719523, "env_id": "TruckTrailer-v1"}
r,l,t
-20179.433611,5415,139.504561
-58.192544,2098,186.020799
-102.613352,570,195.821685
-1736.03103,2572,261.69734
-544.385299,406,268.825737
-88.443333,524,277.721208
-119.112243,344,283.810555
-359.76037,294,289.323768
-366.923978,374,307.412853
-1248.232783,486,315.800159
-1225.957237,435,323.410089
-45.693814,366,330.018109
-64879.330777,6103,461.99703
-178.036834,534,481.60723
-53.660721,399,488.912965
-126.917516,427,496.616414
-102.651203,520,505.607676
-162.46671,424,512.925274
22.353274,354,530.615911
-27.031387,592,540.501357
3.433615,337,546.508701
17.07848,303,551.899521
14.046453,320,558.103574
-12.773537,477,578.407978
18.87148,339,584.716024
17.433579,325,590.714521
-25.26117,351,597.204831
-504.507745,422,605.111585
-336.614936,311,611.404486
-669.009304,411,629.310247
-23.714614,280,634.196726
-98.713452,329,639.913155
-1074.291805,368,646.421006
-112.955913,352,652.898869
17.825648,300,658.909794
18.163277,392,677.00992
-56.468408,356,683.017156
-7.599142,397,689.624856
-658.316945,462,697.803782
-863.753378,381,705.307343
-58.069714,371,722.426237
-389.571005,378,729.212465
17.548356,461,736.818231
-24.253198,344,743.009642
-529.237065,362,750.416346
-79.631578,386,757.611472
-803.193991,321,773.716331
-673.100555,1172,794.998632
-485.957054,551,804.919092
-349.213667,349,821.619554
-84.560294,419,829.21136
-694.273519,1049,849.004816
-27.244857,326,864.520714
-37.297452,429,872.013402
-747.537651,318,878.419151
13.722356,382,885.601059
-2139.440225,2258,934.599864
17.804183,484,942.923058
-59.444599,414,960.014282
-263.29267,350,966.495194
-326.546672,352,973.418324
-154.890357,322,979.710186
-273.173792,368,986.021722
-106.674277,483,1004.918566
-165.508461,485,1014.899256
-36.114277,403,1022.212701
-238.530509,453,1030.208454
-1016.465373,476,1038.903086
-7.604324,313,1055.096145
-126.325086,395,1062.725064
-123.692086,323,1068.414473
-1083.526059,630,1079.011744
-342.713423,384,1085.496402
13.644365,331,1101.018862
-205.62497,417,1108.714552
-159.41601,363,1114.724605
-39.392181,411,1121.90497
-543.721144,343,1127.997043
11.879043,329,1145.121083
5.846134,361,1152.314765
13.368504,310,1158.105677
-829.956658,418,1165.999594
-623.534042,331,1172.200383
-185.161364,546,1181.418303
-1363.036595,558,1203.016845
-31.707179,348,1209.122277
8.542422,292,1214.396179
-106.499314,327,1220.32156
-558.247811,371,1227.519738
12.112835,298,1244.513155
2.501984,245,1249.294917
-31.527365,352,1255.407641
-311.969451,360,1262.214693
-107.332587,402,1269.295507
-512.634957,308,1275.920192
-92.470782,280,1281.397627
-448.939521,484,1300.295211
-746.6977,400,1307.414391
-571.40195,288,1312.904719
-567.666321,461,1322.315663
-341.754582,359,1329.02211
-55.575359,395,1346.31324
-628.04814,329,1352.115151
-205.519482,409,1360.415138
-166.440896,275,1365.612427
-5.959765,566,1375.008297
-977.803427,424,1392.624238
-1810.068387,2068,1439.127548
-229.885495,419,1447.520213
9.830827,323,1453.603956
-30.368644,276,1458.521916
-221.570306,344,1464.625565
-311.970453,394,1471.500813
-307.075625,314,1487.321478
-39.61626,378,1494.796685
-286.362866,263,1499.517747
-127.990155,319,1505.107577
19.425507,363,1511.208217
-53.043071,346,1517.113842
-29.298186,350,1534.108835
-833.16783,273,1538.909392
-164.418699,307,1544.119571
8.982014,429,1551.416589
-1048.371215,351,1557.700084
6.803104,343,1563.803368
-261.231225,359,1581.805401
-935.824007,313,1587.012619
-123.430748,350,1593.007197
-819.277803,418,1600.317223
-12288.71329,3183,1673.898064
-41.517279,443,1681.5961
-194.877762,516,1690.119486
-1100.186923,392,1696.629377
17.784298,334,1713.811978
-249.861707,386,1721.115195
-295.760227,275,1726.019378
-443.115343,491,1734.501955
-620.353185,352,1740.394304
-326.294552,353,1746.719838
-944.384508,310,1764.014153
-1299.069189,453,1771.719259
-363.957313,426,1778.907422
-148.72715,333,1784.421201
-690.394661,248,1788.709456
-185.083917,408,1807.295566
-1157.280629,436,1815.22233
-520.964424,337,1821.496793
-61.294628,470,1829.904987
-433.311192,290,1835.09671
-536.489249,331,1841.619594
-136.784898,417,1859.321508
-570.023763,323,1865.104933
-91.6174,347,1871.402016
19.401045,290,1876.303133
-1079.021953,561,1886.808021
4.827569,314,1902.699439
-82.194215,363,1908.723126
13.087874,292,1913.998174
17.951964,314,1919.799555
21.447392,360,1926.32083
-167.169893,389,1934.204777
9.864559,296,1949.713278
-120.861332,322,1955.196518
19.704784,321,1960.520687
-292.081578,326,1966.002822
-470.363351,298,1971.59779
-525.678605,354,1978.52121
-638.572053,489,1997.121849
-188.551648,312,2002.720807
7.231623,400,2009.518017
-5.794644,297,2014.821491
-958.267846,343,2021.900184
-1063.781853,450,2030.513844
-416.252805,412,2047.611114
-499.803557,391,2054.314637
-154.32159,273,2059.307893
-214.933289,480,2068.619149
-1180.599411,405,2075.321193
-57.111787,354,2091.411233
-373.578929,383,2098.214844
-506.241303,389,2105.122467
-452.794197,304,2111.121619
-33.122413,329,2116.9076
17.049236,384,2123.595384
-326.812718,316,2138.925529
-224.851583,428,2146.42127
-199.171833,427,2155.021569
9.204255,548,2164.123191
-401.29598,280,2169.011771
-635.407259,348,2184.801691
-57.719386,429,2191.901511
9.887356,361,2199.110064
-328.320861,307,2204.899402
-124.496127,392,2211.713595
-89.518848,373,2218.50905
-62.876911,379,2234.824678
-25.990451,398,2242.49727
15.403005,469,2250.716905
-863.236784,305,2256.011805
-212.32313,278,2261.016541
-176.058902,388,2277.90975
-702.375234,266,2283.11589
-37.651358,467,2291.719073
1.016611,315,2297.12573
-212.408932,474,2305.203797
-158.626204,275,2309.904222
17.485555,371,2326.008882
-8691.357023,5836,2441.613659
-568.289916,542,2461.220817
-2201.280508,4788,2558.499068
-18.07246,412,2565.713017
-1183.721841,424,2573.014652
-134.307888,373,2589.503373
-344.577541,398,2597.120823
21.995058,399,2604.718721
19.108324,433,2611.913925
-180.551725,460,2619.410743
-814.11806,553,2638.310813
-439.857079,419,2646.607279
-1276.454834,425,2654.311206
-181.913745,355,2660.8144
-617.903121,289,2665.815751
23.189508,373,2682.609474
-29.769389,350,2689.210514
-566.032725,490,2697.914551
-257.168611,572,2707.504141
-696.739535,373,2723.716337
-25.539262,421,2731.712715
-296.127509,295,2737.418394
22.149174,399,2744.110874
-802.398851,414,2751.318063
-48.81381,522,2769.914038
-34.391128,308,2775.701366
-225.09039,530,2785.02131
-382.927662,392,2791.718931
14.735016,266,2796.51365
