#{"t_start": 1681803213.6930728, "env_id": "TruckTrailer-v1"}
r,l,t
-1179.855535,2139,78.373749
-645.710095,1390,102.791476
-624.403092,1489,139.783143
-1861.619336,1302,171.197916
-508.807422,1467,197.596095
-873.612482,1610,234.998239
-13638.109436,15246,557.979673
-2219.80398,2238,606.282151
-4863.258865,2763,662.891629
-358.080785,1437,697.39834
-689.119937,1374,721.594078
-2576.984979,2807,789.298384
-1318.599935,1859,830.996495
-731.515148,1704,859.776663
-944.379666,1494,895.402291
0.0,1,895.899251
-2884.696982,3287,970.486207
-1644.884413,925,986.190604
-1274.172001,1601,1023.282633
-2646.082434,2167,1069.999159
-1123.453147,1771,1110.789446
0.0,1,1111.291324
-3474.716999,2412,1161.588149
-2586.248887,851,1187.19925
-1309.237062,1630,1214.491376
-473.448271,1142,1244.882665
-1455.925845,1859,1286.100746
-1058.584545,1616,1322.683509
-2810.432202,2281,1370.373971
-1677.582779,2002,1414.39254
-5795.369577,2792,1471.098131
-882.853628,1453,1505.60509
-987.15859,1463,1530.491457
-1909.940603,1823,1571.399662
-3943.59967,3224,1642.30061
0.0,1,1642.793871
-4781.310911,2601,1697.475283
-1824.503308,1877,1738.494268
-681.564544,1412,1772.187235
-5185.8583,5429,1881.587554
-2051.797047,1959,1924.278178
-665.213944,850,1948.877663
-3618.532644,2279,1995.586293
-412.342765,1046,2014.500573
-3372.053567,3026,2084.387799
-1300.906857,2907,2143.486171
-1116.253064,1338,2177.200141
-1716.993815,862,2191.379609
0.0,1,2191.797863
-3609.942698,2532,2256.091508
-9375.989364,15655,2581.079791
-291.44614,1294,2612.48911
-4258.542278,3238,2686.588324
-1620.362712,1364,2709.694994
-4592.213703,2676,2764.385009
-4591.307054,4323,2867.604307
-830.378818,1961,2911.687477
-1337.143317,1847,2942.085174
-5146.55963,3093,3016.381742
-5136.321237,3817,3102.975809
-725.765389,1599,3141.992872
-1274.20598,2225,3191.295339
-1895.019131,1649,3228.787805
-6266.878861,3383,3295.573713
-3966.895099,2746,3363.389499
-5343.19386,3726,3437.580577
-1447.685576,776,3459.597123
-2999.147462,2570,3514.280673
-1550.475337,1737,3552.98692
-1815.969507,1973,3597.276417
-472.412515,1405,3622.47618
-7315.646099,12485,3895.798482
-1264.459493,1444,3920.593381
-7447.18162,6125,4053.190519
-357.785304,1187,4084.792708
-5591.126398,3185,4149.198082
-5923.51871,3987,4237.087898
-1310.136961,1545,4275.285417
-2299.787992,2063,4322.088039
-5358.595658,2696,4379.493628
-3129.063198,2146,4427.293305
-559.42263,1577,4465.385093
-3740.238926,2434,4518.191937
-4535.804304,3251,4593.987314
-3388.486294,2149,4641.174726
-903.829094,1413,4677.188016
-2096.048679,1949,4722.498101
-2812.563353,1909,4767.086185
-2770.332327,2228,4817.191814
-3215.628565,2197,4866.094224
-6489.326909,3345,4933.089448
-4666.804278,2611,4999.49859
-414.935656,1289,5021.799147
-3926.458426,2426,5086.28709
-385.172886,878,5102.498267
-389.561581,1209,5134.887959
-5668.845394,3924,5212.691054
-2030.449201,646,5234.69767
-8108.258917,7078,5381.281453
-2472.212044,1717,5421.589774
-2518.986692,1764,5462.69044
-4465.75324,2257,5512.793903
-2915.198393,2104,5559.576331
-1380.091348,1653,5598.385591
-4067.527569,2204,5647.289301
-4039.788752,2398,5700.20052
-2825.524636,2229,5748.582695
-3269.187177,2329,5800.79388
-443.556185,1146,5829.978867
-484.656667,1017,5849.087231
-3298.180079,2147,5898.091133
-908.124818,1147,5928.303211
-1570.150778,875,5944.575744
-506.803713,1291,5977.600258
-1783.220584,732,5990.390697
-2579.142685,2101,6037.696126
-393.291919,1334,6071.595289
-387.130583,1062,6100.080475
-2380.863078,1989,6145.387101
-1746.649669,705,6157.476471
-3437.269026,2267,6207.883534
-2956.56372,2142,6255.400048
-2469.630036,2014,6300.774147
-4145.174256,2384,6352.874317
-2425.559752,689,6374.995381
-8636.295386,3459,6445.502066
-1266.426636,1600,6484.202488
-4443.656342,3501,6563.687432
-972.591098,837,6578.987
-4700.175927,2385,6629.797649
-929.584631,1132,6659.182415
-3548.620522,2235,6709.39449
-1624.944532,762,6723.494365
-1186.136509,1617,6762.500004
-467.490513,1294,6794.997621
