#{"t_start": 1677663086.5048995, "env_id": "TruckTrailer-v1"}
r,l,t
-83.535646,1184,22.464218
-104.763722,2251,40.212337
-123.903844,1706,55.392464
-80.463876,908,61.277756
-110.259461,10024,141.200418
-95.758568,1513,154.88597
-77.420879,941,165.200091
-144.840034,3387,190.170063
-65.700726,908,200.009791
-76.577768,897,205.676178
-124.759805,2317,224.165948
-84.163457,1010,234.710134
-113.099436,909,240.793788
-106.502811,1235,252.792643
-151.66025,8680,321.902776
-94.423717,1350,334.506969
-113.246681,1429,343.319401
-75.77814,1125,354.567396
-172.825474,4192,387.885199
-92.194095,1063,394.801067
-90.472789,1130,406.293334
-92.080311,979,412.613524
-87.392155,1095,424.068188
-93.511875,1246,436.275318
-122.962021,1633,446.465567
-119.039998,1684,461.063389
-71.784859,1005,471.264827
-89.621262,1567,484.864754
-95.429116,1692,495.019873
-58.033321,881,505.00705
-98.941059,1965,520.9158
-172.80367,8484,588.794782
-97.202359,1944,604.50427
-200.139155,5170,643.000371
-93.874042,1416,655.77809
-102.393684,2142,672.683229
-81.103559,1150,684.120654
-201.790568,5700,727.493446
-103.808906,2287,750.87653
-287.264669,11326,842.298474
-61.364487,1092,853.57193
-108.919103,2343,872.186839
-81.168752,1491,881.410082
-102.844299,1255,893.581396
-97.466639,1479,907.498414
-97.099048,1526,921.976739
-113.494099,1828,934.479275
-120.995172,2870,961.086805
-159.432781,5667,1008.496406
-121.174396,2533,1028.104038
-151.562345,5117,1067.305534
-102.638075,1814,1082.988532
-63.522991,1093,1094.38635
-72.93972,989,1100.780348
-95.807089,1724,1116.207047
-128.58035,4556,1152.279626
-80.370643,1114,1162.988387
-102.847361,1747,1178.067901
-73.91207,1056,1184.822798
-78.165017,3416,1213.962538
-137.692074,3854,1244.406689
-113.230692,1764,1259.612272
-114.000731,2005,1276.29442
-79.974704,1048,1282.868597
-81.369728,2741,1304.908201
-124.047674,1795,1322.764433
-118.147515,2104,1339.965677
-80.907409,1325,1352.192893
-97.986189,1343,1364.464973
-145.437526,3179,1387.300328
-102.561207,1602,1400.80354
-74.484421,1070,1411.972846
-75.844233,1248,1419.861927
-104.416031,1696,1434.782106
-100.321903,1236,1446.995987
-115.529487,2209,1463.89059
-85.089715,1333,1472.2816
-102.967324,1516,1486.192859
-82.345547,1296,1498.707478
-141.406437,3172,1522.296911
-75.939266,1186,1533.91249
-72.24763,1361,1542.678213
-105.77294,2223,1564.012549
-141.882214,4827,1598.613135
-159.341138,4376,1631.814249
-179.288376,5596,1677.381948
-109.962738,2475,1695.565119
-94.688195,1797,1710.191057
