#{"t_start": 1675999670.6248858, "env_id": "TruckTrailer-v1"}
r,l,t
-83.477245,6076,58.296456
-81.570613,2369,80.760326
-61.621836,4758,117.172746
-66.239961,7243,170.87169
-80.062965,963,180.752225
-74.217533,1075,187.190098
-85.212626,2286,208.250994
-88.030313,2902,228.790026
-70.64464,966,234.871444
-76.329673,1370,246.973192
-78.938834,1273,258.749352
-83.113497,1274,266.572073
-77.574421,904,276.28552
-79.247008,1167,283.398384
-77.524364,1307,295.172367
-80.557504,1077,305.673251
-76.831977,1060,312.165115
-76.528906,935,321.698447
-73.206441,953,327.47824
-71.81435,2815,347.892383
-84.985682,1501,361.49544
-80.144497,1624,374.876776
-80.96652,1652,388.671125
-79.192429,1225,395.958055
-71.090592,1292,407.645393
-70.999227,2487,426.064722
-82.278524,1390,438.86122
-74.070895,1221,446.644651
-80.430206,885,456.255077
-77.250962,2248,474.062017
-84.978876,2263,491.544194
-73.80677,1001,501.688282
-80.905006,4490,535.677121
-65.828514,1192,543.165025
-77.958362,4007,573.666475
-73.494553,2202,590.472403
-55.881901,958,600.465705
-70.825626,1639,614.077512
-82.752196,1928,629.578224
-67.323527,2244,647.04473
-62.834533,10513,727.365637
-52.293519,1593,740.892933
-84.610014,1998,756.555
-82.980831,1772,767.060495
-73.215372,1173,777.951797
-70.102204,1790,792.400156
-43.444516,2808,813.159449
-72.402227,1500,825.946164
-55.274183,906,831.491093
-76.07773,1748,845.699563
-75.692458,6168,894.06882
-76.71205,3302,922.159178
-58.137868,894,927.690206
-51.917455,2837,952.397781
-71.23731,1639,966.280079
-55.134967,907,972.097045
-74.02206,1627,985.779262
-39.681959,1569,999.060789
-80.224998,1065,1005.75496
-69.940726,1489,1018.399624
-74.539703,1717,1032.765447
-25.332238,9950,1106.548582
-63.428921,8710,1177.180418
-72.213015,884,1182.696546
-41.435802,3133,1208.962296
17.32233,4636,1244.542814
-81.43314,1427,1256.990734
9.823917,7063,1310.344683
-64.838264,1101,1321.275371
-53.19572,3658,1346.953572
-77.213131,1257,1358.686297
75.920014,7596,1419.891509
-84.34211,855,1425.374459
-65.238943,1155,1436.448521
-69.865637,5213,1474.354384
-60.015938,5946,1520.953081
-100.039373,1557,1534.670449
-79.848555,1474,1547.549699
-77.533997,927,1553.480811
-19.39,6147,1601.856944
-69.02582,1286,1613.699415
41.772201,7162,1667.558458
-50.365684,2822,1692.588801
20.873057,8870,1759.850107
59.523771,5682,1804.700116
-38.128961,6970,1857.29425
-67.294331,1041,1867.587731
-36.391983,6712,1919.088381
-79.234078,783,1924.050537
286.090783,18035,2063.080004
-67.216787,1007,2072.946205
-64.755185,1122,2079.657058
88.026993,6550,2129.042127
381.369197,17635,2264.577942
-73.431391,6741,2315.375467
-24.610753,7784,2375.352264
-87.593365,8969,2441.881916
139.495876,13499,2548.257147
33.768825,8233,2611.073865
119.844185,5446,2653.362082
-101.414865,811,2658.352304
102.034123,8582,2722.992332
24.654168,6406,2770.966043
75.588774,6727,2825.394003
111.090917,8724,2890.368648
33.217762,7684,2951.195561
104.263707,8321,3016.184147
35.332826,6858,3068.953916
106.671317,7140,3127.282262
788.355217,19762,3276.964708
433.448834,15878,3402.572587
125.78487,17309,3535.043701
-53.633665,9502,3610.154772
238.635788,16024,3734.96474
92.995953,8860,3801.363374
535.0859,14288,3913.297114
-70.259755,849,3922.761024
72.971194,8462,3987.877896
-69.325696,787,3993.062002
21.663496,9737,4070.462095
-50.095371,1940,4086.271261
116.407721,6936,4139.275158
961.199386,17464,4276.160655
578.683053,17888,4412.760577
449.840049,17413,4550.67458
792.612974,15963,4674.4491
23.823338,9094,4744.297671
-15.888599,6151,4792.283708
89.13791,4946,4833.369017
694.44581,14843,4948.174176
238.544517,8789,5016.670222
900.093204,17170,5152.877621
886.071341,17728,5287.945532
781.157605,16693,5416.897321
56.360978,4792,5456.989186
894.079639,14591,5570.461589
308.680007,7799,5633.961113
-75.456318,914,5639.674464
452.855475,20000,5798.281071
-72.21782,899,5803.954481
575.239363,18255,5947.898292
95.114267,5941,5996.073111
1012.872549,15071,6115.288565
116.412074,6860,6172.598939
828.198584,19489,6324.473339
103.212272,8775,6396.398905
963.107529,14349,6509.056801
107.779456,4992,6546.974119
748.113276,19916,6703.389554
1003.72449,14607,6818.165107
628.387335,20000,6974.290024
597.691368,20000,7130.100141
808.092225,19711,7285.47099
428.697434,20000,7442.693489
942.992041,12411,7539.303177
973.031762,14889,7653.868922
595.862952,16316,7780.753111
989.771037,18054,7922.580736
641.455103,20000,8079.497535
-83.956991,746,8084.391129
955.399519,13481,8190.667294
939.532823,17923,8328.374762
866.074703,13841,8437.566204
978.357744,11780,8530.685249
973.665074,14656,8644.657864
664.728516,19712,8800.254001
779.765364,18085,8941.66273
914.458325,13955,9048.067978
-73.28769,718,9056.680925
518.27505,12967,9156.761483
872.464277,13441,9263.984858
928.847355,18389,9407.764609
146.391385,6815,9460.894742
898.586921,18920,9608.478662
779.462048,18003,9749.964987
986.702967,12570,9847.249439
932.885422,15033,9964.646476
828.755407,18696,10115.196468
724.338609,20000,10269.698481
754.932308,20000,10426.368967
1005.358274,13084,10533.180523
-68.795098,717,10542.280869
938.764113,18592,10694.261095
1009.674035,17751,10840.357302
940.515009,16860,10974.976478
655.163877,19788,11128.581504
832.217743,15356,11250.692932
-61.083547,906,11256.789254
775.125533,20000,11414.189498
-65.023655,873,11423.353606
674.958474,13748,11528.348255
753.738613,13931,11640.396058
84.689068,8081,11706.773102
959.993377,17387,11849.387537
932.536187,15250,11969.466446
870.835125,16860,12102.161019
103.384333,5424,12147.349488
941.350905,16190,12277.850653
-67.62132,759,12282.673395
1015.321865,13138,12389.784946
1011.078803,16569,12523.390108
538.088586,20000,12679.646841
1010.581422,16821,12815.456548
864.123974,12084,12911.651189
791.235262,20000,13068.19355
884.030654,14115,13182.097445
268.050914,8565,13251.065278
969.52456,17865,13393.561589
970.709739,16744,13525.975181
939.839265,17397,13667.594888
795.295167,13608,13774.983196
959.901212,14851,13901.170553
1001.128971,16264,14031.482574
1010.359295,16777,14164.169266
1014.687356,13629,14270.678253
1000.523146,16785,14409.097084
972.22632,15384,14531.695395
-72.660602,837,14541.270495
66.983829,3374,14566.154669
987.061979,19889,14728.161776
122.706941,7776,14793.757027
961.466894,16007,14924.873416
437.234351,9015,14999.963839
977.978119,11712,15096.087684
826.224249,13516,15203.378367
68.931318,3157,15231.154298
999.266974,18037,15378.078915
983.574011,14329,15493.555502
1010.74813,16785,15628.180641
1005.705879,12884,15734.274735
980.843314,14788,15853.65967
1007.278695,12190,15952.26739
963.89891,14308,16070.084325
664.853707,18261,16220.561501
599.308774,20000,16382.384013
945.157232,13365,16490.844915
1011.377061,16013,16621.297289
927.728108,11882,16719.00072
1013.70366,14406,16840.085694
1004.174983,14029,16953.995416
860.878588,16529,17089.595777
-65.231251,712,17094.244085
922.736419,15422,17222.461195
1011.56837,15867,17350.458299
975.095034,13178,17454.749191
996.369743,12375,17554.072061
878.116051,12736,17656.977549
531.056113,20000,17816.995157
984.917322,13379,17924.943488
671.420547,20000,18081.98082
796.599263,20000,18246.771612
957.26177,19782,18407.189155
713.207972,20000,18572.150744
981.77595,15366,18694.871532
589.484977,20000,18858.999331
750.707375,14344,18976.262853
795.708645,20000,19138.866022
762.160983,20000,19295.658218
-76.314758,969,19306.254844
958.977404,18175,19453.742743
641.10097,20000,19617.069479
912.694472,15096,19736.643301
725.009204,20000,19898.484984
833.340713,20000,20055.777742
1013.141876,14777,20180.388723
980.982071,16198,20311.589661
991.357032,14499,20434.753917
-78.996657,706,20439.35128
901.545251,15801,20568.545771
1002.860921,14651,20686.081521
967.844001,11564,20776.362792
121.484648,9644,20855.771114
994.890018,13339,20966.793917
-75.796863,895,20972.57465
811.700186,20000,21137.047989
-77.077382,844,21142.552772
1011.113648,16239,21274.159001
-70.748367,959,21284.19626
838.801967,20000,21442.164569
833.703657,20000,21602.487443
971.076245,16167,21734.891552
725.805249,20000,21896.648414
990.776845,16555,22027.862481
126.043136,5665,22073.147599
327.043162,7554,22131.493448
853.96532,20000,22293.550506
1008.945812,18204,22439.890211
997.51303,11769,22536.198365
981.312244,14412,22655.653701
187.341353,6964,22709.589936
