#{"t_start": 1675829723.3753326, "env_id": "TruckTrailer-v1"}
r,l,t
-58.569461,1329,50.206873
-68.790277,919,75.120988
-65.892841,973,90.212479
-49.825548,865,104.09975
-64.096607,1486,136.897
-57.923512,949,163.291301
-64.271719,3624,228.093822
-57.952226,927,253.206095
-37.720056,3212,311.997267
-69.782186,2069,357.405165
-63.225012,1551,394.115384
-46.872844,1025,422.014928
-75.621264,1632,459.418422
-71.787123,1426,482.502301
-75.14792,2265,528.317276
-63.793646,2237,573.815803
-75.035164,1209,603.005078
-63.044245,1402,635.30672
-77.785917,1123,654.301638
-72.639787,1773,694.004534
-79.851935,2938,760.008053
-49.178688,1142,779.392236
-69.801977,3933,862.002845
-71.026254,3513,937.598489
-59.401214,2153,983.809951
-58.03962,7224,1126.20719
-69.467877,2240,1173.509801
-63.133837,1324,1205.211195
-63.351067,2868,1260.616599
-67.138125,2027,1305.311882
-51.020932,1903,1350.011686
-76.175226,5582,1469.612388
-59.574032,10623,1692.795455
-67.624624,5194,1815.912255
-65.949145,2594,1872.009757
-71.739304,6273,2002.412459
-61.245473,5981,2128.999244
-62.385009,1689,2165.80808
-56.19104,5375,2275.599522
-70.159116,7202,2418.213895
-67.404538,15811,2742.914107
-58.35434,20000,3165.498795
-69.930641,7900,3319.403395
-59.921917,18141,3690.092847
-64.077327,5872,3809.196514
-66.217696,20000,4220.206467
-73.19818,20000,4627.61968
-52.831014,20000,5027.493606
-70.041634,1918,5067.007988
-80.115799,5632,5185.509654
-78.248286,20000,5600.418371
-82.962552,7873,5765.008786
-45.332631,20000,6163.995038
-60.329375,20000,6567.606213
-72.18673,20000,6980.115394
-57.21597,20000,7392.395422
-77.014855,20000,7814.807873
-80.774906,20000,8220.208531
-81.299637,20000,8635.219662
-81.916121,20000,9043.80471
-69.721108,2381,9090.01669
-72.087393,20000,9502.89416
-42.530717,20000,9910.621851
-63.214153,20000,10325.004086
-59.311565,20000,10741.508933
-68.886691,20000,11160.497434
-60.202789,20000,11577.992561
-74.059792,20000,11981.321057
-81.064494,20000,12407.397984
-76.492872,20000,12827.221315
-73.1519,20000,13244.020132
-70.238859,20000,13653.014616
-64.481409,20000,14070.208987
-72.49425,20000,14489.107372
-70.963488,20000,14911.108902
-70.174754,20000,15320.799532
-68.796356,20000,15740.211647
-71.044899,14753,16048.110981
-71.804904,20000,16460.017065
-76.417711,20000,16879.121489
-72.838279,20000,17296.118872
-77.72382,20000,17722.30928
