#{"t_start": 1670316120.1145034, "env_id": "TruckTrailer-v1"}
r,l,t
-47.002803,980,22.185471
-47.708221,1003,29.259264
-46.477155,1007,40.053113
-46.638702,936,45.98322
-47.211299,919,56.277306
-44.98424,922,68.781594
-69.176947,1223,102.570431
-44.355641,888,118.454944
-67.98971,1162,148.674487
-68.618791,1178,168.372808
-59.752346,1168,198.470818
-46.467631,881,212.962686
-67.368258,1205,243.4614
-68.712758,1195,270.672525
-60.462152,1167,291.071903
-60.238927,1183,321.168721
-61.082809,1107,338.069527
-62.237088,1259,369.267904
-68.0634,1237,397.181772
-60.900726,1165,416.570098
-68.453036,1180,443.867941
-60.146697,1110,461.474543
-56.819481,1139,488.376554
-55.29855,1079,506.771059
-54.622388,1158,534.365071
-57.052538,1257,563.279401
-55.436541,1210,584.173499
-58.577672,1177,611.680185
-54.811844,1274,631.678108
-56.999664,1211,659.253774
-57.064874,1192,678.574816
-55.714145,1254,707.652283
-57.389914,1169,736.256935
-58.770122,1174,754.368646
-53.71593,1208,782.864663
-56.179853,1177,801.05936
-57.49085,1337,832.252203
-61.057101,1189,861.065852
-56.381826,1235,880.369483
-59.957325,1250,910.374557
-58.293436,1267,929.361977
-66.019894,1274,960.157171
-59.058058,1219,991.169858
-58.746633,1326,1010.664761
-66.292616,1171,1037.284593
-60.146043,1317,1066.07286
-58.137089,1239,1085.567836
-58.992053,1262,1114.569247
-65.656281,1332,1134.482673
-44.998956,909,1158.466229
-45.532602,925,1173.068508
-67.355695,1191,1202.365632
-57.546987,1217,1220.95278
-59.326626,1417,1252.954123
-45.891264,933,1276.555435
-67.384518,1430,1299.056927
-67.909236,1322,1328.955309
-67.944791,1238,1357.67372
-67.4088,1245,1377.373134
-58.380793,1272,1405.679458
-59.353724,1343,1426.977653
-59.48628,1376,1457.272025
-59.806371,1287,1487.569024
-65.518827,1339,1510.46452
-64.949218,1333,1539.069921
-58.608431,1396,1570.857512
-55.747644,1394,1592.956877
-55.559515,1364,1623.154681
-51.552196,1433,1655.182986
-51.068586,1404,1675.781828
-54.441079,1343,1706.776485
-50.434513,1487,1739.478307
-49.994894,4196,1825.777209
-56.775675,3791,1906.269111
-53.540632,1570,1940.163896
-51.48645,1540,1963.668165
-52.505901,1569,1997.360936
-59.641678,4436,2082.985516
-51.634209,1618,2116.868802
-49.569057,1638,2151.268397
-51.00957,1691,2187.554191
-67.257937,4347,2272.661913
-69.187727,4881,2364.572216
-65.939356,4997,2469.682254
-56.295246,4331,2554.260388
-58.32176,3802,2629.77177
-60.509371,3890,2698.271664
-59.764063,3984,2778.669207
-56.73951,3954,2855.578993
-59.219892,3640,2928.165143
-56.864872,3721,3005.065255
-54.28164,3504,3077.368843
-55.221486,3566,3139.852573
-59.198763,3485,3211.254951
-59.233439,3401,3281.276153
-56.679425,3495,3346.55424
-51.341047,2564,3405.375373
-64.27053,2724,3455.573516
-56.16521,2851,3509.27322
-61.558404,2721,3569.679291
-61.340081,2397,3616.574392
-59.490348,2329,3663.871807
-60.791345,2136,3708.162535
-77.389336,2292,3752.478944
-69.233377,2599,3804.870239
-60.532332,2315,3860.859605
-60.298911,2349,3907.274761
-62.089426,2156,3952.570028
-68.392927,2727,4007.465307
-67.031371,2677,4061.179883
-66.290517,2748,4124.669825
-63.711082,3089,4186.075379
-67.297845,3555,4260.582645
-67.503378,7613,4411.563917
-58.291111,7028,4546.058246
-53.178661,7048,4689.468052
-57.933157,6504,4816.770857
-55.640855,6149,4939.655719
-57.028455,6812,5071.268857
-58.677181,6810,5201.378573
-51.382056,6738,5345.167262
-63.052462,7001,5480.085586
-16.213396,6709,5607.064541
-48.871244,7408,5756.568568
-22.845744,7478,5910.154229
-12.891828,7600,6055.965265
